Sample_ID,Bioproject,Name_cn,Name,Whiteness Degree of Complete Grain (%),Whiteness Degree of Dead Grain (%),Amylose Content of Grain (%),Protein Content of Grain (%),Taste Score of Cooked Grain,Water Content of Grain,Awn Length (cm),Grain Length (mm),Grain Width (mm),Grain Thickness (mm),Grain Length Width Ratio (%),1000-Grain Weight (g),Flag Leaf Length (cm),Flag Leaf Width (cm),Leaf Blade Width (cm),Leaf Sheath Color,Leaf Rolling Index (%),Plant Height (cm),Panicle Length (cm),Culm Length (cm),Ligule Llength (mm),SPAD Value of Flag Leaf,Tiller Number per Plant (num),Blighted Grains per Plant (num),Blighted Grains per Panicle (num),Blighted Grains Weight per Plant (g),Filled Grains per Plant,Filled Grains per Panicle,Filled Grains Weight per Plant (g),Grain Number per Panicle (num),Seed Setting Rate (%),Grain Yield per Plant (g),Panicle Number per Plant (num),Number of Productive Panicle per Plant (num),Panicle Weight (g),Spikelet Number per Panicle (num),Panicle Weight per Plant (g),Yield per Plant (g),"Heading Date (50%, days)",Seedling Height (cm),Cd concentration,Treatment,Years,Region,Region_cn
SAMC008243,PRJCA000322,旱稻44,HanDao44,,,,,,,,,,,,,31,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008244,PRJCA000322,旱稻108,HanDao108,,,,,,,,,,,,,45.3,1.74,,,,,,,,37.36,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008245,PRJCA000322,旱稻277,HanDao277,,,,,,,,,,,,,25.8,1.84,,,,,,,,43.11,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008247,PRJCA000322,旱稻442,HanDao442,,,,,,,,,,,,,36.5,1.58,,,,,,,,39.91,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008248,PRJCA000322,中旱502,ZhongHan502,,,,,,,,,,,,,38.4,2.26,,,,,,,,39.34,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008249,PRJCA000322,津9540,Jin9540,,,,,,,,,,,,,41.7,1.86,,,,,,,,39.43,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008251,PRJCA000322,盐粳2号,YanGeng2Hao,,,,,,,,,,,,,28,1.26,,,,,,,,32.84,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008253,PRJCA000322,吉粳83,JiGeng83Hao,,,,,,,,,,,,,36.4,1.38,,,,,,,,39.34,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008254,PRJCA000322,吉粳88,JiGeng88Hao,,,,,,,,,,,,,39,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008255,PRJCA000322,长白16,ChangBai16,,,,,,,,,,,,,29.5,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008256,PRJCA000322,龙粳05-191,LongGeng05-191,,,,,,,,,,,,,22.2,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008257,PRJCA000322,龙粳25,LongGeng25Hao,,,,,,,,,,,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008258,PRJCA000322,龙粳26,LongGeng26Hao,,,,,,,,,,,,,24.06,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008259,PRJCA000322,辽粳21,LiaoGeng21,,,,,,,,,,,,,26.8,1.88,,,,,,,,41.24,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008260,PRJCA000322,宁粳28号（宁夏大学农学院）,NingGeng28Hao,,,,,,,,,,,,,46.22,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008262,PRJCA000322,宁粳35号（宁夏大学农学院）,NingGeng35Hao,,,,,,,,,,,,,40.62,1.52,,,,,,,,40.73,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008263,PRJCA000322,宁粳38号（宁夏大学农学院）,NingGeng38Hao,,,,,,,,,,,,,38.76,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008264,PRJCA000322,宁粳43号（宁夏大学农学院）,NingGeng43Hao,,,,,,,,,,,,,36.18,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008265,PRJCA000322,丹粳06-8,DanGeng06-8,,,,,,,,,,,,,26,1.38,,,,,,,,31.46,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008267,PRJCA000322,常熟-6-85,ChangShu-6-85,,,,,,,,,,,,,33.7,1.8,,,,,,,,40.88,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008269,PRJCA000322,宁粳24号(宁夏农学院),NingGeng24Hao,,,,,,,,,,,,,45.34,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008270,PRJCA000322,宁粳36号(宁夏农学院),NingGeng36Hao,,,,,,,,,,,,,35.62,1.58,,,,,,,,38.36,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008271,PRJCA000322,宁粳37号(宁夏农学院),NingGeng37Hao,,,,,,,,,,,,,45.1,1.6,,,,,,,,40.94,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008272,PRJCA000322,淮糯12,HuaiNuo12Hao,,,,,,,,,,,,,25,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008273,PRJCA000322,宁粳41号(宁夏农学院),NingGeng41Hao,,,,,,,,,,,,,37.74,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008274,PRJCA000322,辽源31-1,LiaoYuan31-1,,,,,,,,,,,,,34.78,1.18,,,,,,,,41.31,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008275,PRJCA000322,辽源31-2,LiaoYuan31-2,,,,,,,,,,,,,34.3,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008276,PRJCA000322,吉粳80,JiGeng80Hao,,,,,,,,,,,,,36.46,1.28,,,,,,,,41.05,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008279,PRJCA000322,津源45,JinYuan45,,,,,,,,,,,,,30.6,1.68,,,,,,,,40.16,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008280,PRJCA000322,松粳9号,SongGeng9Hao,,,,,,,,,,,,,33.2,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008281,PRJCA000322,松粳12号,SongGeng12Hao,,,,,,,,,,,,,34.82,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008282,PRJCA000322,铁粳7号,TieGeng7Hao,,,,,,,,,,,,,22.48,1.76,,,,,,,,41.33,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008284,PRJCA000322,豫粳6号,YuGeng6Hao,,,,,,,,,,,,,25.3,1.68,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008287,PRJCA000322,日本晴,Nipponbare,,,,,,,,,,,,,30.5,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008288,PRJCA000322,东海不抗条,DongHaiBuKangTiao,,,,,,,,,,,,,24.6,1.72,,,,,,,,43.11,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008289,PRJCA000322,苏御糯,SuYuNuo,,,,,,,,,,,,,36.2,1.98,,,,,,,,38.68,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008290,PRJCA000322,湘恢628,XiangHui628,,,,,,,,,,,,,31.7,2,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008291,PRJCA000322,台湾30,TaiWan30,,,,,,,,,,,,,37.4,1.74,,,,,,,,35.89,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008292,PRJCA000322,台湾50,TaiWan50,,,,,,,,,,,,,41,1.58,,,,,,,,36.86,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008293,PRJCA000322,台湾65,TaiWan65,,,,,,,,,,,,,37.2,1.6,,,,,,,,38.65,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008294,PRJCA000322,徐稻4号,XuDao4Hao,,,,,,,,,,,,,25,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008297,PRJCA000322,盐选2号,YanXuan2Hao,,,,,,,,,,,,,21.8,1.5,,,,,,,,32.16,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008298,PRJCA000322,盐粳6号,YanGeng6Hao,,,,,,,,,,,,,26.8,1.38,,,,,,,,30.43,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008302,PRJCA000322,盐粳11号,YanGeng11Hao,,,,,,,,,,,,,25.9,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008304,PRJCA000322,盐稻8号,YanDao8Hao,,,,,,,,,,,,,20.6,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008305,PRJCA000322,徐稻5号,XuDao5Hao,,,,,,,,,,,,,27.7,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008307,PRJCA000322,盐稻60,YanDao60Hao,,,,,,,,,,,,,23.7,1.26,,,,,,,,34.25,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008314,PRJCA000322,扬粳186,YangGeng186,,,,,,,,,,,,,32.5,1.36,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008315,PRJCA000322,扬粳687,YangGeng687,,,,,,,,,,,,,26.6,1.44,,,,,,,,34.25,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008316,PRJCA000322,徐稻6号,XuDao6Hao,,,,,,,,,,,,,29.6,1.58,,,,,,,,33.41,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008319,PRJCA000322,镇稻88,ZhenDao88Hao,,,,,,,,,,,,,24.6,1.44,,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008320,PRJCA000322,镇稻99,ZhenDao99Hao,,,,,,,,,,,,,22,1.46,,,,,,,,33.86,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008327,PRJCA000322,徐稻7号,XuDao7Hao,,,,,,,,,,,,,26.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008329,PRJCA000322,宁粳4号,NingGeng4Hao,,,,,,,,,,,,,28.2,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008336,PRJCA000322,南粳41,NanGeng41,,,,,,,,,,,,,26.2,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008341,PRJCA000322,武运粳21,WuYunGeng21Hao,,,,,,,,,,,,,25.6,1.62,,,,,,,,36.86,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008353,PRJCA000322,武育粳16号,WuYuGeng16Hao,,,,,,,,,,,,,25,1.52,,,,,,,,34.13,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008360,PRJCA000322,连粳4号,LianGeng4Hao,,,,,,,,,,,,,24.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008361,PRJCA000322,泗稻785,SiDao785,,,,,,,,,,,,,30.5,1.64,,,,,,,,33.83,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008362,PRJCA000322,泗稻11号,SiDao11Hao,,,,,,,,,,,,,26.7,1.72,,,,,,,,34.93,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008363,PRJCA000322,泗稻12,SiDao12Hao,,,,,,,,,,,,,26.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008364,PRJCA000322,华粳2号,HuaGeng2Hao,,,,,,,,,,,,,27.5,1.32,,,,,,,,38.73,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008366,PRJCA000322,华粳5号,HuaGeng5Hao,,,,,,,,,,,,,23.36,1.58,,,,,,,,34.14,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008367,PRJCA000322,华粳6号,HuaGeng6Hao,,,,,,,,,,,,,24,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008368,PRJCA000322,华粳7号,HuaGeng7Hao,,,,,,,,,,,,,24.4,1.5,,,,,,,,36.09,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008369,PRJCA000322,大华香糯,DaHuaXiangNuo,,,,,,,,,,,,,24.8,1.48,,,,,,,,33.38,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008370,PRJCA000322,苏香粳1号,SuXiangGeng1Hao,,,,,,,,,,,,,22.3,1.34,,,,,,,,31.34,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008371,PRJCA000322,连粳6号,LianGeng6Hao,,,,,,,,,,,,,26.8,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008381,PRJCA000322,圣稻15,ShengDao15,,,,,,,,,,,,,28.6,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008382,PRJCA000322,绥粳3,SuiGeng3Hao,,,,,,,,,,,,,21.92,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008383,PRJCA000322,垦粳5号,KenGeng5Hao,,,,,,,,,,,,,28.9,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008384,PRJCA000322,TK65,Tk65,,,,,,,,,,,,,28.42,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008385,PRJCA000322,北稻3号,BeiDao3Hao,,,,,,,,,,,,,30.34,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008386,PRJCA000322,奥羽324,AoYu324,,,,,,,,,,,,,33.84,1.86,,,,,,,,48.5,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008387,PRJCA000322,普特6号,PuTe6Hao,,,,,,,,,,,,,33.96,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008388,PRJCA000322,桦X0609,HuaX0609,,,,,,,,,,,,,29.12,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008389,PRJCA000322,龙交06-192,LongJiao06-192,,,,,,,,,,,,,34.86,1.46,,,,,,,,41.8,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008390,PRJCA000322,龙粳香1号,LongGengXiang1Hao,,,,,,,,,,,,,27.8,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008392,PRJCA000322,关东58（0034）,GuanDong58,,,,,,,,,,,,,36.32,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008393,PRJCA000322,香珍珠,XiangZhenZhu,,,,,,,,,,,,,31.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008394,PRJCA000322,合航99-1,HeHang99-1,,,,,,,,,,,,,31.46,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008395,PRJCA000322,中日七号,ZhongRiQiHao,,,,,,,,,,,,,33.8,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008396,PRJCA000322,东农8号,DongNong8Hao,,,,,,,,,,,,,28.54,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008397,PRJCA000322,龙粳30,LongGeng30Hao,,,,,,,,,,,,,24.42,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008398,PRJCA000322,北稻1号,BeiDao1Hao,,,,,,,,,,,,,33.24,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008399,PRJCA000322,龙粳32,LongGeng32Hao,,,,,,,,,,,,,32.24,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008400,PRJCA000322,龙粳33,LongGeng33Hao,,,,,,,,,,,,,28.98,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008401,PRJCA000322,龙粳38,LongGeng38Hao,,,,,,,,,,,,,30.12,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008402,PRJCA000322,绥粳10,SuiGeng10Hao,,,,,,,,,,,,,32.1,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008403,PRJCA000322,稼禾1号,JiaHe1Hao,,,,,,,,,,,,,28.28,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008404,PRJCA000322,绥粳4,SuiGeng4Hao,,,,,,,,,,,,,25.34,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008405,PRJCA000322,中龙香粳1号,ZhongLongXiangGeng1Hao,,,,,,,,,,,,,45.34,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008406,PRJCA000322,绥粳8,SuiGeng8Hao,,,,,,,,,,,,,28.34,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008407,PRJCA000322,日本优质米,YouZhiMi(Japan),,,,,,,,,,,,,26.84,1.84,,,,,,,,37.13,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008408,PRJCA000322,一见钟情,YiJianZhongQing,,,,,,,,,,,,,33.12,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008409,PRJCA000322,垦稻10-2153,KenDao10-2153,,,,,,,,,,,,,23.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008410,PRJCA000322,松粳15,SongGeng15Hao,,,,,,,,,,,,,25.72,1.66,,,,,,,,45.95,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008411,PRJCA000322,吉玉粳,JiYuGeng,,,,,,,,,,,,,30.22,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008412,PRJCA000322,垦稻09-2883,KenDao09-2883,,,,,,,,,,,,,26.78,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008413,PRJCA000322,垦稻08-1716,KenDao08-1716,,,,,,,,,,,,,32.1,1.9,,,,,,,,40.83,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008414,PRJCA000322,龙粳11,LongGeng11Hao,,,,,,,,,,,,,27.52,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008415,PRJCA000322,龙粳20,LongGeng20Hao,,,,,,,,,,,,,29.6,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008416,PRJCA000322,龙粳21,LongGeng21Hao,,,,,,,,,,,,,29.86,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008417,PRJCA000322,龙粳31,LongGeng31Hao,,,,,,,,,,,,,27.06,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008418,PRJCA000322,东农428,DongNong428,,,,,,,,,,,,,34.72,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008419,PRJCA000322,东稻4,DongDao4,,,,,,,,,,,,,34.76,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008420,PRJCA000322,垦稻12,KenDao12Hao,,,,,,,,,,,,,34.86,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008421,PRJCA000322,垦98-196,Ken98-196,,,,,,,,,,,,,35.5,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008422,PRJCA000322,松98-131,Song98-131,,,,,,,,,,,,,38.12,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008423,PRJCA000322,五优稻1号,WuYouDao1Hao,,,,,,,,,,,,,32.1,1.76,,,,,,,,39.34,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008424,PRJCA000322,GYH-资源,Gyh-ZiYuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008425,PRJCA000322,资源64,ZiYuan64,,,,,,,,,,,,,27.14,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008426,PRJCA000322,龙稻11,LongDao11Hao,,,,,,,,,,,,,25.82,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008427,PRJCA000322,稻花香2号,DaoHuaXiang2Hao,,,,,,,,,,,,,30.3,1.64,,,,,,,,43.19,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008428,PRJCA000322,吉粳88,JiGeng88Hao,,,,,,,,,,,,,25.9,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008429,PRJCA000322,松粳9号,SongGeng9Hao,,,,,,,,,,,,,33.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008430,PRJCA000322,绥粳9,SuiGeng9Hao,,,,,,,,,,,,,30.84,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008431,PRJCA000322,绥粳11,SuiGeng11Hao,,,,,,,,,,,,,28.34,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008432,PRJCA000322,似绥粳8,SiSuiGeng8,,,,,,,,,,,,,32.96,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008433,PRJCA000322,绥粳13,SuiGeng13Hao,,,,,,,,,,,,,27.38,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008434,PRJCA000322,龙粳27,LongGeng27Hao,,,,,,,,,,,,,21.78,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008435,PRJCA000322,龙粳28,LongGeng28Hao,,,,,,,,,,,,,25.78,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008436,PRJCA000322,龙粳37,LongGeng37Hao,,,,,,,,,,,,,30.06,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008437,PRJCA000322,老头稻,LaoTouDao,,,,,,,,,,,,,27.82,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008438,PRJCA000322,莲稻一号,LianDaoYiHao,,,,,,,,,,,,,34.54,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008439,PRJCA000322,龙盾01-200,LongDun01-200,,,,,,,,,,,,,31.46,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008441,PRJCA000322,松粳13,SongGeng13Hao,,,,,,,,,,,,,27.62,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008442,PRJCA000322,合江18号,HeJiang18Hao,,,,,,,,,,,,,24.36,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008443,PRJCA000322,龙花01-501,LongHua01-501,,,,,,,,,,,,,29.6,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008444,PRJCA000322,垦糯1,KenNuo1Hao,,,,,,,,,,,,,26.26,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008445,PRJCA000322,牡丹江22,MuDanJiang22Hao,,,,,,,,,,,,,32.42,1.6,,,,,,,,50.21,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008446,PRJCA000322,龙粳10号,LongGeng10Hao,,,,,,,,,,,,,26.62,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008447,PRJCA000322,秋岭,QiuLing,,,,,,,,,,,,,32.74,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC008448,PRJCA000322,垦94-1043,Ken94-1043,,,,,,,,,,,,,32.16,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071938,PRJCA000322,TOS2300（Tox7-3-4-10-131）,Tos2300（Tox7-3-4-10-131）,,,,,,,,,,,,,43.1,1.68,,,,,,,,47.19,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071939,PRJCA000322,WAB56-50,Wab56-50,,,,,,,,,,,,,40.9,1.82,,,,,,,,45.43,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071940,PRJCA000322,TGR78,TGR78,,,,,,,,,,,,,38.8,1.98,,,,,,,,49.55,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071941,PRJCA000322,IRAT12,IRAT12,,,,,,,,,,,,,29.9,1.72,,,,,,,,38.56,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071942,PRJCA000322,IRAT104,Irat104,,,,,,,,,,,,,36.4,1.84,,,,,,,,46.76,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071943,PRJCA000322,IRAT109,IRAT109,,,,,,,,,,,,,34.74,1.7,,,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071944,PRJCA000322,IRAT110,IRAT110,,,,,,,,,,,,,34.74,1.7,,,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071945,PRJCA000322,IRAT112,IRAT112,,,,,,,,,,,,,38.5,1.68,,,,,,,,47.49,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071946,PRJCA000322,CICA9,Cica9,,,,,,,,,,,,,33,1.76,,,,,,,,34.3,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071947,PRJCA000322,CR5272,Cr5272,,,,,,,,,,,,,31.9,1.54,,,,,,,,40.31,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
SAMC071948,PRJCA000322,B2997C-7B-4-2-1,B2997C-7B-4-2-1,,,,,,,,,,,,,37.5,1.5,,,,,,,,36.34,,,,,,,,,,,,,,,,,,,,,2016,Beijing,北京市
