Sample_ID,Bioproject,Name_cn,Name,Whiteness Degree of Complete Grain (%),Whiteness Degree of Dead Grain (%),Amylose Content of Grain (%),Protein Content of Grain (%),Taste Score of Cooked Grain,Water Content of Grain,Awn Length (cm),Grain Length (mm),Grain Width (mm),Grain Thickness (mm),Grain Length Width Ratio (%),1000-Grain Weight (g),Flag Leaf Length (cm),Flag Leaf Width (cm),Leaf Blade Width (cm),Leaf Sheath Color,Leaf Rolling Index (%),Plant Height (cm),Panicle Length (cm),Culm Length (cm),Ligule Llength (mm),SPAD Value of Flag Leaf,Tiller Number per Plant (num),Blighted Grains per Plant (num),Blighted Grains per Panicle (num),Blighted Grains Weight per Plant (g),Filled Grains per Plant,Filled Grains per Panicle,Filled Grains Weight per Plant (g),Grain Number per Panicle (num),Seed Setting Rate (%),Grain Yield per Plant (g),Panicle Number per Plant (num),Number of Productive Panicle per Plant (num),Panicle Weight (g),Spikelet Number per Panicle (num),Panicle Weight per Plant (g),Yield per Plant (g),"Heading Date (50%, days)",Seedling Height (cm),Cd concentration,Treatment,Years,Region,Region_cn
SAMC008114,PRJCA000322,淮稻10号（袁）,HuaiDao10Hao,,,,,,,,6.6,3.3,,,21,,,,,,100,,,,,10,,,,,,,,,20.7,,,,,,,131,,,,2015,Beijing,北京市
SAMC008115,PRJCA000322,扬农粳1号,YangNongGeng1Hao,,,,,,,,6.6,3.2,,,20.8,,,,,,93,,,,,9,,,,,,,,,19.3,,,,,,,131,,,,2015,Beijing,北京市
SAMC008117,PRJCA000322,泗稻8号,SiDao8Hao,,,,,,,,7.5,3.3,,,23.5,,,,,,81,,,,,8,,,,,,,,,17.8,,,,,,,127,,,,2015,Beijing,北京市
SAMC008119,PRJCA000322,南粳45,NanGeng45,,,,,,,,6.9,3.3,,,24.1,,,,,,108,,,,,8,,,,,,,,,23.7,,,,,,,134,,,,2015,Beijing,北京市
SAMC008122,PRJCA000322,宁粳5号,NingGeng5Hao,,,,,,,,6.9,3.2,,,23.2,,,,,,103,,,,,8,,,,,,,,,25.4,,,,,,,130,,,,2015,Beijing,北京市
SAMC008124,PRJCA000322,扬育粳2号,YangYuGeng2Hao,,,,,,,,7,3.2,,,22.9,,,,,,100,,,,,8,,,,,,,,,19.7,,,,,,,134,,,,2015,Beijing,北京市
SAMC008125,PRJCA000322,巴利拉,Balilla,,,,,,,,6.9,3.4,,,25.9,,,,,,101,,,,,7,,,,,,,,,19.4,,,,,,,98,,,,2015,Beijing,北京市
SAMC008126,PRJCA000322,南粳11,NanGeng11,,,,,,,,6.7,3,,,18.3,,,,,,108,,,,,10,,,,,,,,,25,,,,,,,130,,,,2015,Beijing,北京市
SAMC008127,PRJCA000322,南粳33（张亚东）,NanGeng33,,,,,,,,6.8,3.3,,,19.4,,,,,,108,,,,,10,,,,,,,,,18.6,,,,,,,130,,,,2015,Beijing,北京市
SAMC008128,PRJCA000322,苏协粳,SuXieGeng,,,,,,,,7.5,3.2,,,25.7,,,,,,113,,,,,9,,,,,,,,,29.5,,,,,,,126,,,,2015,Beijing,北京市
