Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008316,PRJCA000322,徐稻6号,XuDao6Hao,,,,,,,,6.6,3.5,,27.5,97,,,,,106.4,17.3,,,,39.7,,0.15,,,,,,35.25,,8.3,,,,,,,2015,Yangzhou
SAMC008317,PRJCA000322,扬辐粳7号,YangFuGeng7Hao,,,,,,,,7.1,3.4,,24,113.5,,,,,116,17.6,,,,112.3,,0.47,,,,,,30.29,,8.7,,,,,,,2015,Yangzhou
SAMC008318,PRJCA000322,扬辐粳8号,YangFuGeng8Hao,,,,,,,,7.5,3.5,,26.7,95.5,,,,,104.4,17.6,,,,76.7,,0.22,,,,,,31.14,,8.3,,,,,,,2015,Yangzhou
SAMC008319,PRJCA000322,镇稻88,ZhenDao88Hao,,,,,,,,6.9,3.3,,25.6,94.5,,,,,96.4,17.6,,,,46.7,,0.14,,,,,,38.66,,10,,,,,,,2015,Yangzhou
SAMC008320,PRJCA000322,镇稻99,ZhenDao99Hao,,,,,,,,6.9,3.5,,28.2,95.5,,,,,104.8,16,,,,23.7,,0.05,,,,,,36.76,,10.3,,,,,,,2015,Yangzhou
SAMC008321,PRJCA000322,镇9424,Zhen9424,,,,,,,,7.1,3.6,,26,109,,,,,94.6,16.6,,,,53.3,,0.25,,,,,,25.13,,6.5,,,,,,,2015,Yangzhou
SAMC008322,PRJCA000322,镇稻11,ZhenDao11,,,,,,,,7.2,3.2,,24.9,112.5,,,,,98.8,17.2,,,,103.3,,0.4,,,,,,26.86,,10,,,,,,,2015,Yangzhou
SAMC008323,PRJCA000322,镇稻14号,ZhenDao14Hao,,,,,,,,7.7,3.6,,30.6,100.5,,,,,99.6,17.7,,,,8.6,,,,,,,,,,9,,,,,,,2015,Yangzhou
SAMC008324,PRJCA000322,镇稻15号,ZhenDao15Hao,,,,,,,,8.1,3.4,,28.8,96.5,,,,,104.2,18.8,,,,92.3,,0.49,,,,,,47.26,,11.7,,,,,,,2015,Yangzhou
SAMC008325,PRJCA000322,镇稻16号,ZhenDao16Hao,,,,,,,,7.6,3.3,,25.7,111.5,,,,,100.6,18,,,,22.6,,,,,,,,,,11.7,,,,,,,2015,Yangzhou
SAMC008326,PRJCA000322,宁粳1号,NingGeng1Hao,,,,,,,,7.2,3.5,,30.2,113.5,,,,,104.4,15.9,,,,172.3,,1.03,,,,,,39.02,,12,,,,,,,2015,Yangzhou
SAMC008327,PRJCA000322,徐稻7号,XuDao7Hao,,,,,,,,6.8,3.2,,25.4,93.5,,,,,96.8,17.9,,,,57.7,,0.24,,,,,,33.5,,9,,,,,,,2015,Yangzhou
SAMC008328,PRJCA000322,宁粳3号,NingGeng3Hao,,,,,,,,7.6,3.2,,28.4,112.5,,,,,100.4,16.1,,,,3.9,,,,,,,,,,11.7,,,,,,,2015,Yangzhou
SAMC008329,PRJCA000322,宁粳4号,NingGeng4Hao,,,,,,,,7.5,3.4,,25.5,94,,,,,104.2,18.5,,,,91,,0.27,,,,,,41.24,,12.7,,,,,,,2015,Yangzhou
SAMC008330,PRJCA000322,宁粳5号,NingGeng5Hao,,,,,,,,7.2,3.2,,26.6,105.5,,,,,105.2,14.9,,,,34.5,,,,,,,,,,12.3,,,,,,,2015,Yangzhou
SAMC008331,PRJCA000322,宁9108,Ning9108,,,,,,,,6.7,3.5,,25.2,98.5,,,,,97,16.8,,,,54.3,,0.36,,,,,,28.44,,9.3,,,,,,,2015,Yangzhou
SAMC008332,PRJCA000322,宁5055,Ning5055,,,,,,,,7.1,3.5,,26.9,112.5,,,,,104,16,,,,21.5,,,,,,,,,,12.5,,,,,,,2015,Yangzhou
SAMC008333,PRJCA000322,南粳44,NanGeng44,,,,,,,,7.3,3.3,,27.5,112.5,,,,,102.4,16.8,,,,8.9,,,,,,,,,,10,,,,,,,2015,Yangzhou
SAMC008334,PRJCA000322,南粳46,NanGeng46,,,,,,,,6.9,3.5,,21.8,120.5,,,,,103.6,16,,,,471,,2.37,,,,,,34.65,,12,,,,,,,2015,Yangzhou
SAMC008335,PRJCA000322,南粳49,NanGeng49,,,,,,,,7.3,3.5,,24.9,109,,,,,94.8,16.7,,,,72.7,,0.36,,,,,,37.21,,8,,,,,,,2015,Yangzhou
SAMC008336,PRJCA000322,南粳41,NanGeng41,,,,,,,,7.4,3.5,,27.4,90.5,,,,,104.2,17.6,,,,29.3,,0.13,,,,,,33.64,,9.7,,,,,,,2015,Yangzhou
SAMC008337,PRJCA000322,07GY31,07Gy31,,,,,,,,7.1,3.6,,25.1,101.5,,,,,100.6,16.6,,,,122.3,,0.53,,,,,,35.03,,10.3,,,,,,,2015,Yangzhou
SAMC008338,PRJCA000322,徐粳8号,XuGeng8Hao,,,,,,,,6.6,3.5,,26.5,94.5,,,,,100,16.8,,,,45.3,,0.25,,,,,,37.59,,10.3,,,,,,,2015,Yangzhou
SAMC008339,PRJCA000322,武运粳7号,WuYunGeng7Hao,,,,,,,,7.2,3.3,,30.6,111.5,,,,,117,16.7,,,,10.6,,,,,,,,,,9,,,,,,,2015,Yangzhou
SAMC008340,PRJCA000322,武运粳8号,WuYunGeng8Hao,,,,,,,,7.6,3.3,,25.9,113,,,,,105.6,17.8,,,,29.6,,,,,,,,,,15,,,,,,,2015,Yangzhou
SAMC008341,PRJCA000322,武运粳21,WuYunGeng21Hao,,,,,,,,7.5,3.5,,26.5,90.5,,,,,93.2,17.9,,,,45.7,,0.14,,,,,,37.08,,10,,,,,,,2015,Yangzhou
SAMC008342,PRJCA000322,武运粳22,WuYunGeng22Hao,,,,,,,,7.5,3.4,,24.2,114,,,,,103.8,17.6,,,,210,,1.08,,,,,,45.39,,13,,,,,,,2015,Yangzhou
SAMC008343,PRJCA000322,武运粳23,WuYunGeng23Hao,,,,,,,,7.9,3.6,,29.5,112,,,,,101,16.1,,,,15.4,,,,,,,,,,8,,,,,,,2015,Yangzhou
SAMC008344,PRJCA000322,武运粳24,WuYunGeng24Hao,,,,,,,,6.6,3.5,,23.8,108.5,,,,,100.2,15.2,,,,231.3,,1.56,,,,,,24.24,,7,,,,,,,2015,Yangzhou
SAMC008345,PRJCA000322,武运粳27,WuYunGeng27Hao,,,,,,,,7.2,3.2,,27.1,101.5,,,,,93.4,16.6,,,,9.3,,,,,,,,,,8,,,,,,,2015,Yangzhou
SAMC008346,PRJCA000322,武运粳29,WuYunGeng29Hao,,,,,,,,6.8,3.4,,23.9,109,,,,,94.8,18.6,,,,128,,0.65,,,,,,30.38,,6,,,,,,,2015,Yangzhou
SAMC008347,PRJCA000322,武香粳9号,WuXiangGeng9Hao,,,,,,,,7.5,3.5,,28.6,109.5,,,,,100,16.6,,,,13.2,,,,,,,,,,8.7,,,,,,,2015,Yangzhou
SAMC008348,PRJCA000322,武香粳14,WuXiangGeng14Hao,,,,,,,,7.3,3.6,,25.4,111.5,,,,,105.2,17.4,,,,75,,0.41,,,,,,25.14,,6,,,,,,,2015,Yangzhou
SAMC008349,PRJCA000322,中稻1号,ZhongDao1Hao,,,,,,,,6.7,3.5,,27.9,99.5,,,,,106,16.9,,,,100,,0.49,,,,,,50.9,,12.3,,,,,,,2015,Yangzhou
SAMC008350,PRJCA000322,武粳15,WuGeng15,,,,,,,,7.7,3.5,,28.6,111.5,,,,,104.4,17.1,,,,54.7,,0.34,,,,,,39.93,,10,,,,,,,2015,Yangzhou
SAMC008351,PRJCA000322,武育粳2号,WuYuGeng2Hao,,,,,,,,7.1,3.5,,26.3,111.5,,,,,98.6,16.2,,,,53.7,,0.29,,,,,,34.95,,10,,,,,,,2015,Yangzhou
SAMC008352,PRJCA000322,武育粳3号,WuYuGeng3Hao,,,,,,,,7,3.4,,26.2,101.5,,,,,96.4,16.3,,,,81,,0.4,,,,,,45.59,,13.7,,,,,,,2015,Yangzhou
SAMC008353,PRJCA000322,武育粳16号,WuYuGeng16Hao,,,,,,,,7.5,3.2,,25.5,95.5,,,,,101.4,17.4,,,,69.7,,0.53,,,,,,42.24,,11.7,,,,,,,2015,Yangzhou
SAMC008354,PRJCA000322,武育粳20号,WuYuGeng20Hao,,,,,,,,7.5,3.5,,27.9,110.5,,,,,106.6,16.2,,,,118.3,,0.61,,,,,,32.85,,9,,,,,,,2015,Yangzhou
SAMC008355,PRJCA000322,软玉2号,RuanYu2Hao,,,,,,,,7.5,3.4,,21.6,109,,,,,98.2,16.9,,,,105.7,,0.59,,,,,,19.39,,5.7,,,,,,,2015,Yangzhou
SAMC008356,PRJCA000322,新软玉,XinRuanYu,,,,,,,,6.6,3.6,,27.5,109,,,,,105.2,16.2,,,,247.3,,1.68,,,,,,32.98,,9.7,,,,,,,2015,Yangzhou
SAMC008357,PRJCA000322,运村软米,YunCunRuanMi,,,,,,,,6.7,3.5,,22.4,109,,,,,109.2,16.5,,,,101,,0.49,,,,,,34.24,,9.7,,,,,,,2015,Yangzhou
SAMC008358,PRJCA000322,银玉2084,YinYu2084,,,,,,,,7.5,3.2,,24.1,112,,,,,101.4,16.1,,,,64,,0.29,,,,,,31.25,,10.3,,,,,,,2015,Yangzhou
SAMC008359,PRJCA000322,银玉2239,YinYu2239,,,,,,,,7.4,3.3,,27,106.5,,,,,90.4,16.4,,,,40,,0.21,,,,,,32.39,,9,,,,,,,2015,Yangzhou
SAMC008360,PRJCA000322,连粳4号,LianGeng4Hao,,,,,,,,6.9,3.2,,26.6,91,,,,,97.4,17.6,,,,36.3,,0.15,,,,,,42.06,,10.7,,,,,,,2015,Yangzhou
SAMC008361,PRJCA000322,泗稻785,SiDao785,,,,,,,,7.7,3.5,,30.4,96.5,,,,,102.2,17.8,,,,32.7,,0.16,,,,,,36.91,,9,,,,,,,2015,Yangzhou
SAMC008362,PRJCA000322,泗稻11号,SiDao11Hao,,,,,,,,7,3.5,,29.8,95.5,,,,,99.2,17.5,,,,44.3,,0.19,,,,,,29.42,,6.3,,,,,,,2015,Yangzhou
SAMC008363,PRJCA000322,泗稻12,SiDao12Hao,,,,,,,,6.4,3.1,,26.9,94.5,,,,,101.8,17.7,,,,100.3,,0.63,,,,,,35.37,,9,,,,,,,2015,Yangzhou
SAMC008364,PRJCA000322,华粳2号,HuaGeng2Hao,,,,,,,,7,3.4,,24.9,99.5,,,,,106.8,16.2,,,,136.3,,0.69,,,,,,47.81,,13,,,,,,,2015,Yangzhou
SAMC008365,PRJCA000322,华粳3号,HuaGeng3Hao,,,,,,,,8,3.1,,22.8,113.5,,,,,96.2,16.5,,,,91,,0.38,,,,,,29.54,,9,,,,,,,2015,Yangzhou
SAMC008366,PRJCA000322,华粳5号,HuaGeng5Hao,,,,,,,,6.9,3.3,,26.6,90.5,,,,,93.8,17.5,,,,68.3,,0.4,,,,,,26.48,,7.3,,,,,,,2015,Yangzhou
SAMC008367,PRJCA000322,华粳6号,HuaGeng6Hao,,,,,,,,6.8,3,,24.5,94,,,,,102.6,17.3,,,,32.3,,0.14,,,,,,34.44,,9.3,,,,,,,2015,Yangzhou
SAMC008368,PRJCA000322,华粳7号,HuaGeng7Hao,,,,,,,,6.8,3.6,,28.2,95,,,,,96.2,15.3,,,,61,,0.39,,,,,,25.14,,6.7,,,,,,,2015,Yangzhou
SAMC008369,PRJCA000322,大华香糯,DaHuaXiangNuo,,,,,,,,6.4,3.8,,24.6,99.5,,,,,102.8,16.3,,,,98.3,,0.45,,,,,,40.89,,12.3,,,,,,,2015,Yangzhou
SAMC008370,PRJCA000322,苏香粳1号,SuXiangGeng1Hao,,,,,,,,7.2,3.6,,22.6,111,,,,,107.6,15.7,,,,216,,1.05,,,,,,21.18,,8,,,,,,,2015,Yangzhou
SAMC008371,PRJCA000322,连粳6号,LianGeng6Hao,,,,,,,,7.1,3,,26.4,92.5,,,,,100.4,18.5,,,,46,,0.15,,,,,,29.66,,7.3,,,,,,,2015,Yangzhou
SAMC008372,PRJCA000322,苏香粳2号,SuXiangGeng2Hao,,,,,,,,6.9,3,,19.9,91,,,,,84.8,15.9,,,,60,,0.15,,,,,,30.81,,13.7,,,,,,,2015,Yangzhou
SAMC008373,PRJCA000322,R109,R109,,,,,,,,7.1,3.4,,17.1,117,,,,,103.8,17.3,,,,376,,2.06,,,,,,17.32,,8.3,,,,,,,2015,Yangzhou
SAMC008374,PRJCA000322,R130,R130,,,,,,,,7,3.5,,27.5,110.5,,,,,106,17.1,,,,79,,0.5,,,,,,30.18,,9,,,,,,,2015,Yangzhou
SAMC008375,PRJCA000322,9363,9363,,,,,,,,7.5,3.5,,27.4,111,,,,,111.6,18.7,,,,295.7,,1.6,,,,,,36.89,,9.7,,,,,,,2015,Yangzhou
SAMC008376,PRJCA000322,常农粳4号,ChangNongGeng4Hao,,,,,,,,7.6,3.5,,27.4,112.5,,,,,109.2,17.2,,,,263,,1.74,,,,,,36.76,,11.3,,,,,,,2015,Yangzhou
SAMC008377,PRJCA000322,常农粳5号,ChangNongGeng5Hao,,,,,,,,7.1,3.3,,21.2,112.5,,,,,108.4,17.7,,,,524,,3.36,,,,,,29.24,,10.3,,,,,,,2015,Yangzhou
SAMC008378,PRJCA000322,常粳09-5,ChangGeng09-5,,,,,,,,7.3,3.5,,20.9,110.5,,,,,108.4,17.2,,,,269.7,,1.2,,,,,,22.29,,7.3,,,,,,,2015,Yangzhou
SAMC008379,PRJCA000322,通粳981,TongGeng981,,,,,,,,7.8,3.4,,26.4,110.5,,,,,114.2,18.3,,,,137,,0.7,,,,,,33.85,,10,,,,,,,2015,Yangzhou
SAMC008380,PRJCA000322,南通紫糯,NanTongZiNuo,,,,,,,,7.4,3.5,,21.9,110.5,,,,,120.8,17,,,,90.7,,0.21,,,,,,33.74,,10.3,,,,,,,2015,Yangzhou
SAMC008381,PRJCA000322,圣稻15,ShengDao15,,,,,,,,7.2,3.3,,26.1,94,,,,,102.2,18,,,,49.7,,0.17,,,,,,34.68,,10,,,,,,,2015,Yangzhou
SAMC008382,PRJCA000322,绥粳3,SuiGeng3Hao,,,,,,,,6.9,3.3,,23.5,63.5,,,,,75.6,16.4,,,,92.3,,0.32,,,,,,19.39,,13.3,,,,,,,2015,Yangzhou
SAMC008383,PRJCA000322,垦粳5号,KenGeng5Hao,,,,,,,,6.9,3.2,,25,63.5,,,,,85,15.5,,,,45.7,,0.14,,,,,,24.28,,14,,,,,,,2015,Yangzhou
SAMC008384,PRJCA000322,TK65,Tk65,,,,,,,,7.4,3.1,,26.3,69,,,,,91.2,17.6,,,,115.7,,0.37,,,,,,20.13,,13.7,,,,,,,2015,Yangzhou
SAMC008385,PRJCA000322,北稻3号,BeiDao3Hao,,,,,,,,8.3,3.1,,29.8,65,,,,,90.8,18.7,,,,33,,0.13,,,,,,21.47,,8.3,,,,,,,2015,Yangzhou
SAMC008386,PRJCA000322,奥羽324,AoYu324,,,,,,,,7.9,3.6,,28.7,77.5,,,,,83.6,19.8,,,,20.5,,,,,,,,,,8,,,,,,,2015,Yangzhou
SAMC008387,PRJCA000322,普特6号,PuTe6Hao,,,,,,,,7.6,3.7,,21.9,68,,,,,91.8,20,,,,164,,0.47,,,,,,23.63,,6.3,,,,,,,2015,Yangzhou
SAMC008388,PRJCA000322,桦X0609,HuaX0609,,,,,,,,8.5,3,,24,64,,,,,76.6,16.4,,,,55.3,,0.21,,,,,,19.89,,12.3,,,,,,,2015,Yangzhou
SAMC008389,PRJCA000322,龙交06-192,LongJiao06-192,,,,,,,,7.6,3,,21.5,65.5,,,,,84.2,17.1,,,,123.3,,0.34,,,,,,21.36,,12.7,,,,,,,2015,Yangzhou
SAMC008390,PRJCA000322,龙粳香1号,LongGengXiang1Hao,,,,,,,,8.1,3,,28.1,62.5,,,,,74.6,16.1,,,,43,,0.13,,,,,,14.5,,11,,,,,,,2015,Yangzhou
SAMC008391,PRJCA000322,普2006二892-48-1,Pu2006Er892-48-1,,,,,,,,7.2,3.2,,26.3,63.5,,,,,66.6,14.3,,,,69.3,,0.21,,,,,,13.68,,15.3,,,,,,,2015,Yangzhou
SAMC008392,PRJCA000322,关东58（0034）,GuanDong58,,,,,,,,6.6,3.1,,23.2,66.5,,,,,89.4,16.8,,,,101,,0.23,,,,,,17.5,,8.3,,,,,,,2015,Yangzhou
SAMC008393,PRJCA000322,香珍珠,XiangZhenZhu,,,,,,,,6.5,3.1,,22,66.5,,,,,84.2,15.8,,,,84,,0.2,,,,,,19.43,,12.3,,,,,,,2015,Yangzhou
SAMC008394,PRJCA000322,合航99-1,HeHang99-1,,,,,,,,8.6,3.4,,24.9,65.5,,,,,81.8,17.9,,,,152.7,,0.55,,,,,,22.33,,13.3,,,,,,,2015,Yangzhou
SAMC008395,PRJCA000322,中日七号,ZhongRiQiHao,,,,,,,,8.1,3.2,,23.8,66.5,,,,,82,22.2,,,,58,,0.22,,,,,,17.69,,10.3,,,,,,,2015,Yangzhou
SAMC008396,PRJCA000322,东农8号,DongNong8Hao,,,,,,,,7.1,3.4,,23,68,,,,,85.2,15.7,,,,175,,0.4,,,,,,20.74,,10,,,,,,,2015,Yangzhou
SAMC008397,PRJCA000322,龙粳30,LongGeng30Hao,,,,,,,,6.3,3.2,,22.1,67.5,,,,,91.8,16.1,,,,77.3,,0.21,,,,,,15.53,,10.3,,,,,,,2015,Yangzhou
SAMC008398,PRJCA000322,北稻1号,BeiDao1Hao,,,,,,,,9.5,3.2,,28,70,,,,,96.6,21.8,,,,59.7,,0.19,,,,,,20.22,,8.7,,,,,,,2015,Yangzhou
SAMC008399,PRJCA000322,龙粳32,LongGeng32Hao,,,,,,,,7.4,3.2,,23.3,64,,,,,88.2,16.1,,,,48,,0.16,,,,,,26.17,,15.3,,,,,,,2015,Yangzhou
SAMC008400,PRJCA000322,龙粳33,LongGeng33Hao,,,,,,,,7.4,3.4,,24.1,69,,,,,86.4,16,,,,110.7,,0.3,,,,,,25.47,,14.7,,,,,,,2015,Yangzhou
SAMC008401,PRJCA000322,龙粳38,LongGeng38Hao,,,,,,,,7,3.4,,24.3,68,,,,,81.4,16.1,,,,43.7,,0.13,,,,,,15.52,,8,,,,,,,2015,Yangzhou
SAMC008402,PRJCA000322,绥粳10,SuiGeng10Hao,,,,,,,,7.3,3.5,,24.3,63.5,,,,,76.4,16.9,,,,47,,0.16,,,,,,15.01,,12.7,,,,,,,2015,Yangzhou
SAMC008403,PRJCA000322,稼禾1号,JiaHe1Hao,,,,,,,,7.5,3.2,,22.7,69,,,,,85.6,16.2,,,,26.3,,0.09,,,,,,10.71,,7.7,,,,,,,2015,Yangzhou
SAMC008404,PRJCA000322,绥粳4,SuiGeng4Hao,,,,,,,,7.2,2.8,,23.7,68,,,,,85.8,17.3,,,,48.7,,0.13,,,,,,18.73,,11.7,,,,,,,2015,Yangzhou
SAMC008405,PRJCA000322,中龙香粳1号,ZhongLongXiangGeng1Hao,,,,,,,,7.9,2.8,,23.2,69,,,,,89.2,21.2,,,,51.3,,0.18,,,,,,11.9,,4.3,,,,,,,2015,Yangzhou
SAMC008406,PRJCA000322,绥粳8,SuiGeng8Hao,,,,,,,,7.8,3.3,,22.2,68,,,,,82.8,18.4,,,,59.3,,0.25,,,,,,16.62,,11,,,,,,,2015,Yangzhou
SAMC008407,PRJCA000322,日本优质米,YouZhiMi(Japan),,,,,,,,7.7,3.2,,23.3,82,,,,,107,22.4,,,,20.3,,,,,,,,,,9.7,,,,,,,2015,Yangzhou
SAMC008408,PRJCA000322,一见钟情,YiJianZhongQing,,,,,,,,7.4,3.3,,23.6,86,,,,,101.4,17.6,,,,77,,0.34,,,,,,19.98,,14,,,,,,,2015,Yangzhou
SAMC008409,PRJCA000322,垦稻10-2153,KenDao10-2153,,,,,,,,7.1,3.5,,24,63,,,,,66.2,13.2,,,,44.7,,0.15,,,,,,13.42,,12.7,,,,,,,2015,Yangzhou
SAMC008410,PRJCA000322,松粳15,SongGeng15Hao,,,,,,,,7.6,3.1,,22.4,77.5,,,,,90.8,17.5,,,,20.9,,,,,,,,,,13,,,,,,,2015,Yangzhou
SAMC008411,PRJCA000322,吉玉粳,JiYuGeng,,,,,,,,6.9,3.4,,22.9,64,,,,,76.8,17,,,,43.7,,0.11,,,,,,24.27,,14,,,,,,,2015,Yangzhou
SAMC008412,PRJCA000322,垦稻09-2883,KenDao09-2883,,,,,,,,7,3.5,,23.2,63.5,,,,,83.8,17.5,,,,50.7,,0.4,,,,,,16.29,,12,,,,,,,2015,Yangzhou
SAMC008413,PRJCA000322,垦稻08-1716,KenDao08-1716,,,,,,,,7.2,3.3,,21.7,62.5,,,,,76,13.8,,,,42.7,,0.29,,,,,,15.72,,14.7,,,,,,,2015,Yangzhou
SAMC008414,PRJCA000322,龙粳11,LongGeng11Hao,,,,,,,,7.7,3.5,,26.6,63.5,,,,,77.4,15.4,,,,73.7,,0.25,,,,,,16.88,,12.7,,,,,,,2015,Yangzhou
SAMC008415,PRJCA000322,龙粳20,LongGeng20Hao,,,,,,,,7.5,3.4,,25.2,63.5,,,,,72.2,16.6,,,,22.3,,0.07,,,,,,16.5,,11.3,,,,,,,2015,Yangzhou
SAMC008416,PRJCA000322,龙粳21,LongGeng21Hao,,,,,,,,7.8,3.4,,24.3,64.5,,,,,86.2,16.1,,,,26.7,,0.11,,,,,,22.65,,10.7,,,,,,,2015,Yangzhou
SAMC008417,PRJCA000322,龙粳31,LongGeng31Hao,,,,,,,,7.3,3.6,,23.8,64,,,,,75,14.5,,,,32,,0.11,,,,,,20.11,,11,,,,,,,2015,Yangzhou
SAMC008418,PRJCA000322,东农428,DongNong428,,,,,,,,8.6,3.1,,27.6,75.5,,,,,95.6,21.9,,,,52.7,,0.18,,,,,,24.78,,9,,,,,,,2015,Yangzhou
SAMC008421,PRJCA000322,垦98-196,Ken98-196,,,,,,,,8.6,3.2,,25.7,69.5,,,,,92.2,21.6,,,,148,,0.55,,,,,,27.22,,12.3,,,,,,,2015,Yangzhou
SAMC008423,PRJCA000322,五优稻1号,WuYouDao1Hao,,,,,,,,8.6,2.7,,24.1,76,,,,,107.4,20,,,,205.3,,0.61,,,,,,26.29,,11.7,,,,,,,2015,Yangzhou
SAMC008425,PRJCA000322,资源64,ZiYuan64,,,,,,,,7.2,3.3,,21.6,65,,,,,88,18.9,,,,52,,0.14,,,,,,20.66,,9,,,,,,,2015,Yangzhou
SAMC008426,PRJCA000322,龙稻11,LongDao11Hao,,,,,,,,7.3,3.5,,25.3,73,,,,,102.4,23.1,,,,44.7,,0.14,,,,,,14.46,,6.7,,,,,,,2015,Yangzhou
SAMC008428,PRJCA000322,吉粳88,JiGeng88Hao,,,,,,,,6,3,,19.3,82.5,,,,,107.4,21.4,,,,135.7,,0.33,,,,,,22.52,,7.3,,,,,,,2015,Yangzhou
SAMC008429,PRJCA000322,松粳9号,SongGeng9Hao,,,,,,,,8.2,3.1,,25.5,77,,,,,101,22.7,,,,14.9,,,,,,,,,,9,,,,,,,2015,Yangzhou
SAMC008430,PRJCA000322,绥粳9,SuiGeng9Hao,,,,,,,,7.7,3.2,,23.5,67,,,,,93.2,18,,,,70.3,,0.28,,,,,,15.55,,8,,,,,,,2015,Yangzhou
SAMC008431,PRJCA000322,绥粳11,SuiGeng11Hao,,,,,,,,7.6,3.1,,25.9,67,,,,,98.8,19.6,,,,74.3,,0.31,,,,,,18.34,,12.3,,,,,,,2015,Yangzhou
SAMC008432,PRJCA000322,似绥粳8,SiSuiGeng8,,,,,,,,6.8,3.3,,21.8,70.5,,,,,83.4,18.3,,,,140.3,,0.52,,,,,,24.72,,12.3,,,,,,,2015,Yangzhou
SAMC008433,PRJCA000322,绥粳13,SuiGeng13Hao,,,,,,,,7.9,3,,23.2,70.5,,,,,93.4,18.1,,,,99,,0.29,,,,,,12.53,,9.3,,,,,,,2015,Yangzhou
SAMC008434,PRJCA000322,龙粳27,LongGeng27Hao,,,,,,,,6.7,3,,23.4,63,,,,,73.4,14.2,,,,63,,0.19,,,,,,14.93,,13.7,,,,,,,2015,Yangzhou
SAMC008435,PRJCA000322,龙粳28,LongGeng28Hao,,,,,,,,7.3,3.2,,25.1,62.5,,,,,71.2,17,,,,72.7,,0.23,,,,,,13.28,,8,,,,,,,2015,Yangzhou
SAMC008436,PRJCA000322,龙粳37,LongGeng37Hao,,,,,,,,7.6,3.3,,29.3,62.5,,,,,76.4,17.2,,,,62.7,,0.24,,,,,,20.43,,12.3,,,,,,,2015,Yangzhou
SAMC008437,PRJCA000322,老头稻,LaoTouDao,,,,,,,,7.5,3.3,,20.4,63.5,,,,,85.8,17.2,,,,119,,0.38,,,,,,15.13,,9.7,,,,,,,2015,Yangzhou
SAMC008438,PRJCA000322,莲稻一号,LianDaoYiHao,,,,,,,,8.6,3.1,,24.2,64,,,,,79.8,15.9,,,,44.7,,0.14,,,,,,17.93,,12,,,,,,,2015,Yangzhou
SAMC008439,PRJCA000322,龙盾01-200,LongDun01-200,,,,,,,,8.2,3.2,,25,69,,,,,95,19.9,,,,103.3,,0.37,,,,,,26.85,,9.3,,,,,,,2015,Yangzhou
SAMC008440,PRJCA000322,龙粳39？,LongGeng39Hao*,,,,,,,,6.5,3.3,,24.4,63.5,,,,,87,14.9,,,,37.3,,0.1,,,,,,22.16,,12,,,,,,,2015,Yangzhou
SAMC008441,PRJCA000322,松粳13,SongGeng13Hao,,,,,,,,7.4,3,,18,66.5,,,,,82.6,15.6,,,,157.3,,0.39,,,,,,17.23,,12.3,,,,,,,2015,Yangzhou
SAMC008442,PRJCA000322,合江18号,HeJiang18Hao,,,,,,,,7.9,3.2,,21.6,66.5,,,,,88.2,17.4,,,,54.3,,0.17,,,,,,18.64,,11.7,,,,,,,2015,Yangzhou
SAMC008443,PRJCA000322,龙花01-501,LongHua01-501,,,,,,,,8.3,3,,23.1,65,,,,,80.4,16.7,,,,62.3,,0.19,,,,,,20.65,,13.3,,,,,,,2015,Yangzhou
SAMC008444,PRJCA000322,垦糯1,KenNuo1Hao,,,,,,,,7.3,3.5,,21.9,67,,,,,87.2,18.6,,,,68.7,,0.29,,,,,,18.96,,8.7,,,,,,,2015,Yangzhou
SAMC008445,PRJCA000322,牡丹江22,MuDanJiang22Hao,,,,,,,,7.7,3.4,,27.4,69.5,,,,,82.4,21.5,,,,55.3,,0.18,,,,,,35.91,,13,,,,,,,2015,Yangzhou
SAMC008446,PRJCA000322,龙粳10号,LongGeng10Hao,,,,,,,,7.3,3.7,,25.8,71.5,,,,,78.6,22.4,,,,38.7,,0.16,,,,,,25.61,,8.7,,,,,,,2015,Yangzhou
SAMC008447,PRJCA000322,秋岭,QiuLing,,,,,,,,7.1,3.4,,24.3,66,,,,,87.6,17.8,,,,69,,0.17,,,,,,19.11,,11,,,,,,,2015,Yangzhou
