Sample_ID,Bioproject,Name_cn,Name,Whiteness_Degree_of_Complete_Grain(%),Whiteness_Degree_of_Dead_Grain(%),Amylose_Content_of_Grain(%),Protein_Content_of_Grain(%),Taste_Score_of_Cooked_Grain,Water_Content_of_Grain,Awn_Length(cm),Grain_Length(mm),Grain_Width(mm),Grain_Thickness(mm),1000_Grain_Weight(g),"Heading_Date(50%,days)",Flag_Leaf_Length(cm),Flag_Leaf_Width(cm),Leaf_Blade_Width(cm),Leaf_Sheath_Color,Plant_Height(cm),Panicle_Length(cm),Culm_Length(cm),SPAD_Value_of_Flag_Leaf,Tiller_Number_per_Plant(num),Blighted_Grains_per_Plant(num),Blighted_Grains_per_Panicle(num),Blighted_Grains_Weight_per_Plant(g),Filled_Grains_per_Plant(num),Filled_Grains_per_Panicle(num),Filled_Grains_Weight_per_Plant(g),Grain_Number_per_Panicle(num),Seed_Setting_Rate(%),Grain_Yield_per_Plant(g),Panicle_Number_per_Plant(num),Number_of_Productive_Panicle_per_Plant(num),Panicle_Weight(g),Spikelet_Number_per_Panicle(num),Panicle_Weight_per_Plant(g),Yield_per_Plant(g),Cd_concentration,Treatment,Years,Region
SAMC008117,PRJCA000322,泗稻8号,SiDao8Hao,,,,,,,,7.5,3.3,,23.5,127,,,,,81,,,,8,,,,,,,,,17.8,,,,,,,,,2015,Beijing
SAMC008119,PRJCA000322,南粳45,NanGeng45,,,,,,,,6.9,3.3,,24.1,134,,,,,108,,,,8,,,,,,,,,23.7,,,,,,,,,2015,Beijing
SAMC008122,PRJCA000322,宁粳5号,NingGeng5Hao,,,,,,,,6.9,3.2,,23.2,130,,,,,103,,,,8,,,,,,,,,25.4,,,,,,,,,2015,Beijing
SAMC008124,PRJCA000322,扬育粳2号,YangYuGeng2Hao,,,,,,,,7,3.2,,22.9,134,,,,,100,,,,8,,,,,,,,,19.7,,,,,,,,,2015,Beijing
SAMC008125,PRJCA000322,巴利拉,Balilla,,,,,,,,6.9,3.4,,25.9,98,,,,,101,,,,7,,,,,,,,,19.4,,,,,,,,,2015,Beijing
SAMC008126,PRJCA000322,南粳11,NanGeng11,,,,,,,,6.7,3,,18.3,130,,,,,108,,,,10,,,,,,,,,25,,,,,,,,,2015,Beijing
SAMC008127,PRJCA000322,南粳33（张亚东）,NanGeng33,,,,,,,,6.8,3.3,,19.4,130,,,,,108,,,,10,,,,,,,,,18.6,,,,,,,,,2015,Beijing
SAMC008128,PRJCA000322,苏协粳,SuXieGeng,,,,,,,,7.5,3.2,,25.7,126,,,,,113,,,,9,,,,,,,,,29.5,,,,,,,,,2015,Beijing
SAMC008129,PRJCA000322,秀水04,XiuShui04,,,,,,,,7,3.4,,25.8,118,,,,,154,,,,8,,,,,,,,,35.8,,,,,,,,,2015,Beijing
SAMC008130,PRJCA000322,镇稻6号,ZhenDao6Hao,,,,,,,,6.9,3.1,,13.5,139,,,,,110,,,,10,,,,,,,,,15.7,,,,,,,,,2015,Beijing
SAMC008131,PRJCA000322,淮稻6号,HuaiDao6Hao,,,,,,,,6.9,3.2,,21,133,,,,,97,,,,11,,,,,,,,,19.9,,,,,,,,,2015,Beijing
SAMC008132,PRJCA000322,武育粳5号,WuYuGeng5Hao,,,,,,,,6.7,3.1,,19.3,137,,,,,109,,,,13,,,,,,,,,20.5,,,,,,,,,2015,Beijing
SAMC008133,PRJCA000322,Pi5,Pi5,,,,,,,,7.3,3,,23.3,129,,,,,130,,,,16,,,,,,,,,37.7,,,,,,,,,2015,Beijing
SAMC008134,PRJCA000322,喜峰,XiFeng,,,,,,,,6.6,3,,21.9,104,,,,,108,,,,9,,,,,,,,,20.9,,,,,,,,,2015,Beijing
SAMC008135,PRJCA000322,中丹1号,ZhongDan1Hao,,,,,,,,7.1,3.1,,25.2,100,,,,,106,,,,12,,,,,,,,,27.8,,,,,,,,,2015,Beijing
SAMC008137,PRJCA000322,黄金晴,HuangJinQing,,,,,,,,6.9,3,,20.6,132,,,,,109,,,,12,,,,,,,,,20.8,,,,,,,,,2015,Beijing
SAMC008139,PRJCA000322,扬粳201,YangGeng201,,,,,,,,6.7,3,,14.5,127,,,,,105,,,,9,,,,,,,,,14.4,,,,,,,,,2015,Beijing
SAMC008140,PRJCA000322,虹糯,HongNuo,,,,,,,,7.5,3,,24.4,93,,,,,153,,,,13,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008141,PRJCA000322,矮箕糯米,AiJiNuoMi,,,,,,,,,,,,147,,,,,126,,,,11,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008144,PRJCA000322,秀水37,XiuShui37,,,,,,,,7,3.3,,27.1,125,,,,,104,,,,7,,,,,,,,,13.1,,,,,,,,,2015,Beijing
SAMC008145,PRJCA000322,镇稻7号,ZhenDao7Hao,,,,,,,,6.7,3.2,,23.2,133,,,,,114,,,,9,,,,,,,,,17.9,,,,,,,,,2015,Beijing
SAMC008146,PRJCA000322,月光,YueGuang,,,,,,,,6.7,3.1,,20.7,129,,,,,103,,,,8,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008147,PRJCA000322,武香稻1号,WuXiangDao1Hao,,,,,,,,6.9,3.3,,18.6,129,,,,,109,,,,7,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008149,PRJCA000322,镇稻99,ZhenDao99Hao,,,,,,,,6.9,3.1,,20.2,135,,,,,97,,,,13,,,,,,,,,27.4,,,,,,,,,2015,Beijing
SAMC008150,PRJCA000322,镇稻1号,ZhenDao1Hao,,,,,,,,7.1,3.1,,19,127,,,,,116,,,,12,,,,,,,,,27,,,,,,,,,2015,Beijing
SAMC008151,PRJCA000322,农垦58,Nongken 58,,,,,,,,7.3,3.1,,15.2,141,,,,,79,,,,11,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008152,PRJCA000322,老虎稻,LaoHuDao,,,,,,,,,,,,146,,,,,158,,,,9,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008153,PRJCA000322,农虎6号,NongHu6Hao,,,,,,,,,,,,146,,,,,114,,,,7,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008154,PRJCA000322,辐农709,FuNong709,,,,,,,,,,,,147,,,,,107,,,,9,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008155,PRJCA000322,秀水04,XiuShui04,,,,,,,,6.6,3.1,,16,140,,,,,107,,,,9,,,,,,,,,7,,,,,,,,,2015,Beijing
SAMC008156,PRJCA000322,黄壳早20日,HuangKeZao20Ri,,,,,,,,7.1,3.4,,25.2,116,,,,,157,,,,7,,,,,,,,,35.1,,,,,,,,,2015,Beijing
SAMC008157,PRJCA000322,复羽,FuYu,,,,,,,,6.7,3,,16.1,135,,,,,97,,,,10,,,,,,,,,12.2,,,,,,,,,2015,Beijing
SAMC008158,PRJCA000322,紫金糯,ZiJinNuo,,,,,,,,6.4,3.2,,19.7,131,,,,,95,,,,11,,,,,,,,,18.3,,,,,,,,,2015,Beijing
SAMC008159,PRJCA000322,紫金粳1号,ZiJinGeng1Hao,,,,,,,,7.1,3.5,,18.7,132,,,,,88,,,,7,,,,,,,,,17.5,,,,,,,,,2015,Beijing
SAMC008160,PRJCA000322,盐粳187,YanGeng187,,,,,,,,7,3.3,,22.9,131,,,,,100,,,,8,,,,,,,,,20.5,,,,,,,,,2015,Beijing
SAMC008161,PRJCA000322,南粳36,NanGeng36,,,,,,,,7.2,3.1,,19.6,133,,,,,100,,,,13,,,,,,,,,22.9,,,,,,,,,2015,Beijing
SAMC008164,PRJCA000322,秀水11,XiuShui11,,,,,,,,,,,,158,,,,,91,,,,11,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008165,PRJCA000322,嘉糊6号,JiaHu6Hao,,,,,,,,,,,,146,,,,,121,,,,11,,,,,,,,,,,,,,,,,,2015,Beijing
SAMC008167,PRJCA000322,9522,9522,,,,,,,,7.2,3.2,,15.2,142,,,,,106,,,,8,,,,,,,,,9.9,,,,,,,,,2015,Beijing
SAMC008168,PRJCA000322,春江03,ChunJiang03,,,,,,,,7.1,3.2,,12.8,144,,,,,105,,,,9,,,,,,,,,9.3,,,,,,,,,2015,Beijing
