Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
Nan21_3,PRJNA609577,Nan21_3,-,,,69.0,178.0,77.0,43.3,9.3,69.0,32.5,15.0,143.6,31.0,20.47,2.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
Chang72,PRJNA609577,Chang72,-,,,71.0,201.3,97.8,48.6,9.8,81.5,43.5,19.6,149.5,27.2,18.71,1.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
Wenhuang31413,PRJNA609577,Wenhuang31413,-,,,63.0,146.5,59.5,40.6,10.7,68.5,31.4,17.0,158.8,30.2,22.22,2.0,2.0,17.5,,,,,2016,HeBei Province,河北省,Hebei
Hai014,PRJNA609577,Hai014,-,,,57.0,194.5,81.0,41.6,7.3,55.7,33.1,6.4,153.2,33.7,21.79,1.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
Ji876,PRJNA609577,Ji876,-,,,73.0,187.0,57.0,30.5,10.3,75.0,32.0,10.0,162.0,18.6,24.65,1.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Hua94,PRJNA609577,Hua94,-,,,57.0,155.2,46.8,30.2,10.8,66.0,31.0,15.8,144.3,38.2,22.64,1.0,2.0,9.3,,,,,2016,HeBei Province,河北省,Hebei
ND255,PRJNA609577,ND255,-,,,59.0,155.0,56.0,36.1,8.7,62.5,21.0,20.0,130.2,49.0,19.07,2.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
334_1,PRJNA609577,334_1,-,,,63.0,143.8,68.0,47.3,9.7,73.3,28.5,20.8,145.9,37.1,24.07,2.0,2.0,18.5,,,,,2016,HeBei Province,河北省,Hebei
Qi205,PRJNA609577,Qi205,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Zheng22,PRJNA609577,Zheng22,-,,,61.0,197.4,55.2,28.0,10.9,72.8,40.4,15.0,160.4,24.0,22.75,1.0,2.0,13.6,,,,,2016,HeBei Province,河北省,Hebei
Dan340,PRJNA609577,Dan340,-,,,70.0,221.5,90.0,40.6,9.0,80.0,31.6,15.6,159.6,22.9,22.05,1.0,2.0,17.0,,,,,2016,HeBei Province,河北省,Hebei
E28,PRJNA609577,E28,-,,,71.0,161.0,62.8,39.0,10.1,71.5,29.2,17.8,157.6,21.1,21.72,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
S37,PRJNA609577,S37,-,,,78.0,137.7,69.7,50.6,10.0,54.7,26.8,16.3,148.9,31.5,19.49,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_22,PRJNA609577,WIL_22,-,,,,149.0,75.0,50.3,10.7,72.0,28.5,16.0,,,24.0,,,,,,,,2016,HeBei Province,河北省,Hebei
WIL_6,PRJNA609577,WIL_6,-,,,66.0,245.8,91.5,37.2,9.2,81.6,41.5,6.2,150.9,32.4,20.07,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Lx03_2,PRJNA609577,Lx03_2,-,,,72.0,205.6,87.3,42.4,10.9,74.0,33.0,12.8,159.0,23.8,24.09,1.0,2.0,13.6,,,,,2016,HeBei Province,河北省,Hebei
811A,PRJNA609577,811A,-,,,70.0,194.0,88.3,45.5,12.4,63.0,21.6,9.8,161.8,23.4,20.36,1.0,2.0,14.3,,,,,2016,HeBei Province,河北省,Hebei
Luosu3,PRJNA609577,Luosu3,-,,,66.0,182.2,80.0,43.9,,64.4,35.4,13.8,148.8,28.6,17.24,1.0,1.0,11.0,,,,,2016,HeBei Province,河北省,Hebei
OQ101,PRJNA609577,OQ101,-,,,58.0,162.5,45.0,27.7,7.6,64.6,27.4,18.3,163.2,22.3,17.95,2.0,2.0,11.1,,,,,2016,HeBei Province,河北省,Hebei
LH195,PRJNA609577,LH195,-,,,76.0,169.0,49.5,29.3,9.6,69.5,31.5,7.0,159.3,23.6,26.91,2.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
Zong31,PRJNA609577,Zong31,-,,,66.0,199.8,71.4,35.7,10.4,77.0,39.4,12.4,159.1,24.9,20.68,2.0,2.0,12.3,,,,,2016,HeBei Province,河北省,Hebei
Wu109,PRJNA609577,Wu109,-,,,71.0,209.8,97.5,46.5,9.8,74.8,34.3,18.0,152.3,30.9,24.82,2.0,2.0,14.4,,,,,2016,HeBei Province,河北省,Hebei
RS_710,PRJNA609577,RS_710,-,,,57.0,151.8,43.8,28.8,9.4,63.8,23.5,6.5,151.4,34.3,14.45,1.0,2.0,15.8,,,,,2016,HeBei Province,河北省,Hebei
CS405,PRJNA609577,CS405,-,,,60.0,184.3,61.5,33.4,8.8,65.3,26.0,9.3,148.3,42.5,22.4,2.0,2.0,15.7,,,,,2016,HeBei Province,河北省,Hebei
K14,PRJNA609577,K14,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
LH214,PRJNA609577,LH214,-,,,70.0,239.3,87.0,36.4,9.1,77.6,31.7,2.2,154.7,24.6,20.33,2.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
Weifeng322,PRJNA609577,Weifeng322,-,,,68.0,143.0,69.0,48.3,8.0,64.0,32.5,9.0,126.4,53.2,18.81,1.0,2.0,18.0,,,,,2016,HeBei Province,河北省,Hebei
PHM81,PRJNA609577,PHM81,-,,,57.0,140.0,42.0,30.0,9.1,59.8,21.4,9.2,153.3,29.4,17.94,2.0,2.0,14.2,,,,,2016,HeBei Province,河北省,Hebei
LH163,PRJNA609577,LH163,-,,,63.0,198.5,51.5,25.9,8.8,69.0,35.0,7.5,148.9,42.0,20.69,2.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
PHW43,PRJNA609577,PHW43,-,,,62.0,228.3,55.0,24.1,11.6,78.0,38.0,8.3,159.4,31.1,25.23,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
M14,PRJNA609577,M14,-,,,65.0,181.8,61.5,33.8,9.6,70.0,35.5,14.3,145.1,46.8,23.29,2.0,2.0,14.4,,,,,2016,HeBei Province,河北省,Hebei
WIL_7,PRJNA609577,WIL_7,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Baiye4,PRJNA609577,Baiye4,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
CT52C,PRJNA609577,CT52C,-,,,70.0,203.8,79.0,38.8,12.5,66.4,38.9,14.2,168.8,15.5,24.39,2.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_5,PRJNA609577,WIL_5,-,,,52.0,155.8,26.0,16.7,8.8,54.6,31.2,6.2,139.7,36.8,18.62,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
PHR58,PRJNA609577,PHR58,-,,,68.0,218.2,76.8,35.2,9.2,79.3,42.2,7.0,150.4,34.1,21.86,2.0,2.0,13.8,,,,,2016,HeBei Province,河北省,Hebei
B14,PRJNA609577,B14,-,,,67.0,209.3,76.7,36.6,9.8,89.7,34.0,14.0,144.7,37.9,23.57,2.0,2.0,15.0,,,,,2016,HeBei Province,河北省,Hebei
Longkang1,PRJNA609577,Longkang1,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Diangu11A,PRJNA609577,Diangu11A,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Dong17,PRJNA609577,Dong17,-,,,58.0,134.7,33.7,25.0,9.1,61.0,25.9,14.5,154.8,26.1,17.84,1.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
OH43,PRJNA609577,OH43,-,,,73.0,152.5,53.0,34.8,10.8,70.0,34.0,9.7,157.3,28.8,23.06,1.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Cheng18,PRJNA609577,Cheng18,-,,,62.0,201.3,50.0,24.8,10.4,69.5,36.4,5.6,151.2,36.6,20.69,1.0,2.0,12.3,,,,,2016,HeBei Province,河北省,Hebei
Ji533,PRJNA609577,Ji533,-,,,69.0,211.0,90.5,42.9,8.8,81.4,36.9,7.4,156.9,21.1,21.34,2.0,2.0,15.5,,,,,2016,HeBei Province,河北省,Hebei
Dan598,PRJNA609577,Dan598,-,,,70.0,198.8,85.5,43.0,11.1,73.8,33.4,18.4,165.2,17.8,20.8,1.0,2.0,19.3,,,,,2016,HeBei Province,河北省,Hebei
DH65232,PRJNA609577,DH65232,-,,,,,,,,,,19.5,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
LY16F,PRJNA609577,LY16F,-,,,81.0,165.0,74.2,45.0,10.9,62.1,25.5,10.0,169.6,12.0,21.22,1.0,2.0,10.8,,,,,2016,HeBei Province,河北省,Hebei
Jian1495a,PRJNA609577,Jian1495a,-,,,73.0,207.0,69.7,33.7,9.5,79.0,26.8,4.5,176.2,7.3,22.2,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
178,PRJNA609577,178,-,,,73.0,196.3,88.0,44.8,10.4,70.8,24.4,7.8,159.6,28.8,18.78,1.0,2.0,14.5,,,,,2016,HeBei Province,河北省,Hebei
WIL_16,PRJNA609577,WIL_16,-,,,73.0,162.8,64.3,39.5,7.5,57.0,23.0,7.7,165.4,16.8,17.06,1.0,2.0,15.0,,,,,2016,HeBei Province,河北省,Hebei
PHWG5,PRJNA609577,PHWG5,-,,,67.0,217.3,75.3,34.6,10.0,83.6,35.6,5.5,160.4,21.9,24.38,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
912,PRJNA609577,912,-,,,59.0,151.0,42.0,27.8,8.1,57.3,29.2,9.4,142.5,38.2,20.65,1.0,2.0,14.8,,,,,2016,HeBei Province,河北省,Hebei
PHR55,PRJNA609577,PHR55,-,,,68.0,214.5,71.0,33.1,9.9,82.0,36.3,11.5,163.7,24.0,23.8,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
LH192,PRJNA609577,LH192,-,,,71.0,152.0,43.0,28.3,8.5,68.0,28.0,5.0,157.1,19.6,20.79,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
S7913,PRJNA609577,S7913,-,,,,,,,,,,,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
Ay420,PRJNA609577,Ay420,-,,,69.0,167.0,68.8,41.2,9.7,69.3,37.6,15.4,167.4,14.4,20.25,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_27,PRJNA609577,WIL_27,-,,,63.0,211.0,48.8,23.1,8.5,70.1,35.3,11.3,160.5,25.3,21.53,2.0,2.0,20.7,,,,,2016,HeBei Province,河北省,Hebei
WIL_26,PRJNA609577,WIL_26,-,,,64.0,193.0,76.6,39.7,9.5,72.7,37.6,9.8,155.9,21.8,19.2,2.0,2.0,14.3,,,,,2016,HeBei Province,河北省,Hebei
WIL_13,PRJNA609577,WIL_13,-,,,60.0,218.3,61.8,28.3,8.8,77.5,37.3,7.2,152.3,33.4,17.15,1.0,2.0,10.4,,,,,2016,HeBei Province,河北省,Hebei
WIL_9,PRJNA609577,WIL_9,-,,,59.0,201.5,66.3,32.9,8.7,66.3,30.1,4.5,145.9,38.0,18.68,2.0,2.0,14.3,,,,,2016,HeBei Province,河北省,Hebei
WIL_10,PRJNA609577,WIL_10,-,,,54.0,126.5,37.0,29.2,6.7,61.6,22.0,6.0,157.2,21.9,14.54,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
B37,PRJNA609577,B37,-,,,69.0,192.5,81.0,42.1,9.9,65.0,29.3,8.0,157.8,40.8,24.46,2.0,2.0,,,,,,2016,HeBei Province,河北省,Hebei
Ye502,PRJNA609577,Ye502,-,,,65.0,184.0,69.0,37.5,8.6,67.8,26.8,10.5,166.3,16.2,23.61,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_2,PRJNA609577,WIL_2,-,,,69.0,248.6,81.8,32.9,10.6,86.8,40.0,4.2,166.3,19.5,22.08,1.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
Shuang741,PRJNA609577,Shuang741,-,,,,,,,,,25.3,25.0,,,,,,,,,,,2016,HeBei Province,河北省,Hebei
B98,PRJNA609577,B98,-,,,73.0,210.8,79.8,37.8,8.2,63.9,34.1,10.4,115.9,60.1,18.68,2.0,2.0,14.5,,,,,2016,HeBei Province,河北省,Hebei
M9,PRJNA609577,M9,-,,,70.0,212.8,97.0,45.6,10.1,67.9,31.0,11.2,137.4,46.6,18.54,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
PHG39,PRJNA609577,PHG39,-,,,73.0,207.0,82.3,39.7,9.2,86.7,37.1,12.0,159.5,19.6,22.53,1.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
PHT73,PRJNA609577,PHT73,-,,,58.0,,,,,57.0,,8.0,,,18.15,,,,,,,,2016,HeBei Province,河北省,Hebei
6M502A,PRJNA609577,6M502A,-,,,69.0,204.0,66.0,32.4,10.1,76.0,48.3,11.2,149.6,37.0,22.34,1.0,2.0,14.7,,,,,2016,HeBei Province,河北省,Hebei
PHVA9,PRJNA609577,PHVA9,-,,,61.0,198.5,50.8,25.6,9.7,71.8,31.5,2.0,154.5,27.0,23.23,2.0,2.0,15.0,,,,,2016,HeBei Province,河北省,Hebei
PHT55,PRJNA609577,PHT55,-,,,70.0,240.0,106.3,44.3,8.9,75.3,33.5,6.3,164.3,23.3,20.11,2.0,2.0,16.7,,,,,2016,HeBei Province,河北省,Hebei
PHV53,PRJNA609577,PHV53,-,,,77.0,225.0,95.0,42.2,11.0,78.0,,9.0,145.3,36.6,20.73,2.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
PHPR5,PRJNA609577,PHPR5,-,,,63.0,210.3,68.5,32.6,9.5,77.4,38.2,8.4,160.1,21.5,20.84,1.0,2.0,15.4,,,,,2016,HeBei Province,河北省,Hebei
PHP85,PRJNA609577,PHP85,-,,,69.0,211.3,72.0,34.1,10.1,81.7,41.5,3.0,156.8,24.2,24.83,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
OS602,PRJNA609577,OS602,-,,,61.0,184.8,60.2,32.6,7.9,70.1,27.6,7.2,134.7,46.5,17.55,2.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
OQ403,PRJNA609577,OQ403,-,,,58.0,170.7,50.3,29.4,6.5,61.9,26.5,6.5,140.2,42.1,17.61,2.0,2.0,13.3,,,,,2016,HeBei Province,河北省,Hebei
Tian4,PRJNA609577,Tian4,-,,,65.0,199.3,95.5,47.9,10.6,66.4,29.7,17.8,161.7,20.3,22.08,1.0,2.0,15.4,,,,,2016,HeBei Province,河北省,Hebei
LH190,PRJNA609577,LH190,-,,,73.0,201.5,81.0,40.2,9.0,76.0,34.0,9.0,155.4,26.0,24.47,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
27_263,PRJNA609577,27_263,-,,,65.0,232.6,105.8,45.5,10.8,79.0,47.3,10.7,155.8,25.0,22.72,2.0,2.0,12.0,,,,,2016,HeBei Province,河北省,Hebei
LH160,PRJNA609577,LH160,-,,,57.0,200.0,62.5,31.3,8.1,68.0,38.0,6.5,147.3,41.2,18.6,2.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
PHN82,PRJNA609577,PHN82,-,,,68.0,185.8,49.0,26.4,9.2,77.3,37.3,5.4,145.5,38.5,17.07,2.0,2.0,15.2,,,,,2016,HeBei Province,河北省,Hebei
E8501,PRJNA609577,E8501,-,,,70.0,232.5,82.8,35.6,9.7,73.0,41.8,8.3,144.8,40.5,22.38,2.0,2.0,10.0,,,,,2016,HeBei Province,河北省,Hebei
Dong46,PRJNA609577,Dong46,-,,,76.0,150.7,70.8,46.9,8.2,59.2,23.8,8.1,,,,,,,78.0,2.0,,,2017,JiLin Province,吉林省,Jilin
K10,PRJNA609577,K10,-,,,76.0,193.8,60.8,31.4,9.6,69.0,32.7,10.4,153.3,30.4,,,,,78.0,2.0,,,2017,JiLin Province,吉林省,Jilin
3IBZ2,PRJNA609577,3IBZ2,-,,,70.0,162.1,44.8,27.6,7.8,61.0,31.5,7.4,110.0,77.5,,,,,73.0,3.0,,,2017,JiLin Province,吉林省,Jilin
Lx9801,PRJNA609577,Lx9801,-,,,87.0,254.1,106.5,42.0,8.9,79.4,36.5,10.4,173.8,10.1,,,,,87.0,0.0,,,2017,JiLin Province,吉林省,Jilin
444,PRJNA609577,444,-,,,85.0,176.2,71.9,40.8,8.4,63.6,32.8,13.5,149.2,33.4,,,,,86.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Jing7,PRJNA609577,Jing7,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
Ji853,PRJNA609577,Ji853,-,,,80.0,228.0,88.3,38.7,7.6,75.6,33.4,6.3,138.9,43.5,,,,,81.0,1.0,,,2017,JiLin Province,吉林省,Jilin
Tangsipingtou,PRJNA609577,Tangsipingtou,-,,,88.5,190.3,99.0,52.0,7.5,53.8,26.9,12.4,149.5,33.6,,,,,89.5,1.0,,,2017,JiLin Province,吉林省,Jilin
196,PRJNA609577,196,-,,,86.5,203.5,80.0,39.3,7.5,69.3,28.3,6.9,173.1,10.6,,,,,87.5,1.0,,,2017,JiLin Province,吉林省,Jilin
NS501,PRJNA609577,NS501,-,,,74.5,169.6,66.9,39.5,6.4,59.2,28.3,11.0,119.7,55.3,,,,,75.0,0.5,,,2017,JiLin Province,吉林省,Jilin
Ji846,PRJNA609577,Ji846,-,,,,236.5,121.5,51.4,8.3,70.5,40.2,12.8,154.2,25.3,,,,,,,,,2017,JiLin Province,吉林省,Jilin
P138,PRJNA609577,P138,-,,,85.5,206.2,104.8,50.8,9.6,74.7,27.6,8.9,161.4,22.8,,,,,86.0,0.5,,,2017,JiLin Province,吉林省,Jilin
Shen137,PRJNA609577,Shen137,-,,,91.0,242.6,110.8,45.7,9.5,91.3,33.3,21.3,167.0,19.1,,,,,91.5,0.5,,,2017,JiLin Province,吉林省,Jilin
Qi319,PRJNA609577,Qi319,-,,,89.0,239.0,92.8,38.8,7.1,93.3,38.7,14.3,163.4,21.4,,,,,91.0,2.0,,,2017,JiLin Province,吉林省,Jilin
698_3,PRJNA609577,698_3,-,,,89.0,216.1,86.4,40.0,9.8,79.1,35.0,7.4,160.7,22.9,,,,,90.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Longkang11,PRJNA609577,Longkang11,-,,,81.0,189.0,67.3,35.5,7.7,65.9,35.9,9.8,142.2,41.9,,,,,81.0,0.0,,,2017,JiLin Province,吉林省,Jilin
Huobai,PRJNA609577,Huobai,-,,,83.5,216.2,101.2,46.8,6.9,64.0,27.9,13.1,154.3,28.0,,,,,84.5,1.0,,,2017,JiLin Province,吉林省,Jilin
9058,PRJNA609577,9058,-,,,84.5,225.7,74.2,32.8,11.7,69.1,31.8,11.6,173.3,8.7,,,,,86.0,1.5,,,2017,JiLin Province,吉林省,Jilin
FBLA,PRJNA609577,FBLA,-,,,75.5,206.6,63.6,30.6,7.4,71.7,29.9,5.8,142.4,38.0,,,,,76.0,0.5,,,2017,JiLin Province,吉林省,Jilin
Huotanghuang17,PRJNA609577,Huotanghuang17,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
7884_7Ht,PRJNA609577,7884_7Ht,-,,,87.0,213.8,96.0,44.9,9.9,82.2,34.1,7.8,165.5,14.7,,,,,87.5,0.5,,,2017,JiLin Province,吉林省,Jilin
81162,PRJNA609577,81162,-,,,85.5,121.5,50.6,41.7,9.1,59.0,21.7,5.6,168.0,15.3,,,,,86.5,1.0,,,2017,JiLin Province,吉林省,Jilin
PHH93,PRJNA609577,PHH93,-,,,75.0,198.3,85.6,43.2,7.7,76.2,37.3,12.3,151.9,27.3,,,,,76.0,1.0,,,2017,JiLin Province,吉林省,Jilin
Aijin525,PRJNA609577,Aijin525,-,,,89.0,193.3,83.8,43.3,10.0,70.4,27.7,25.5,160.6,22.4,,,,,90.0,1.0,,,2017,JiLin Province,吉林省,Jilin
787,PRJNA609577,787,-,,,90.0,229.2,63.4,27.6,9.8,75.4,29.1,1.0,170.9,14.5,,,,,90.5,0.5,,,2017,JiLin Province,吉林省,Jilin
LH220Ht,PRJNA609577,LH220Ht,-,,,79.0,177.6,68.3,38.4,6.7,73.0,25.4,5.6,148.1,31.6,,,,,79.5,0.5,,,2017,JiLin Province,吉林省,Jilin
W23,PRJNA609577,W23,-,,,79.0,183.7,,,6.5,49.5,27.1,5.9,164.7,20.4,,,,,79.0,0.0,,,2017,JiLin Province,吉林省,Jilin
H84,PRJNA609577,H84,-,,,80.5,218.0,86.6,39.7,8.0,68.2,24.2,7.3,153.7,22.8,,,,,80.5,0.0,,,2017,JiLin Province,吉林省,Jilin
B76,PRJNA609577,B76,-,,,81.5,219.9,103.0,46.8,10.0,63.3,31.9,8.5,136.8,46.9,,,,,82.0,0.5,,,2017,JiLin Province,吉林省,Jilin
B100,PRJNA609577,B100,-,,,77.5,166.3,58.8,35.3,9.0,65.5,32.2,7.8,152.7,25.9,,,,,78.5,1.0,,,2017,JiLin Province,吉林省,Jilin
Qi35,PRJNA609577,Qi35,-,,,86.0,249.3,89.4,35.8,9.0,76.8,41.6,6.4,140.6,41.9,,,,,89.0,3.0,,,2017,JiLin Province,吉林省,Jilin
B73,PRJNA609577,B73,-,,,85.5,233.1,95.5,41.0,8.6,76.0,32.0,8.4,164.7,20.0,,,,,86.0,0.5,,,2017,JiLin Province,吉林省,Jilin
BZN,PRJNA609577,BZN,-,,,75.0,181.4,42.8,23.4,9.8,64.5,33.5,4.9,164.8,16.2,,,,,78.5,3.5,,,2017,JiLin Province,吉林省,Jilin
A632,PRJNA609577,A632,-,,,78.0,206.0,82.2,39.9,7.9,70.3,32.3,8.9,133.8,43.3,,,,,82.0,4.0,,,2017,JiLin Province,吉林省,Jilin
200B,PRJNA609577,200B,-,,,78.5,201.2,79.0,39.3,10.4,68.5,35.5,13.6,164.1,14.9,,,,,81.5,3.0,,,2017,JiLin Province,吉林省,Jilin
Zong3,PRJNA609577,Zong3,-,,,79.5,192.1,64.7,33.6,9.2,68.0,27.5,14.2,162.1,25.3,,,,,85.5,6.0,,,2017,JiLin Province,吉林省,Jilin
Zi330,PRJNA609577,Zi330,-,,,80.5,251.2,110.8,44.1,10.8,81.3,32.6,17.6,149.1,34.4,,,,,84.5,4.0,,,2017,JiLin Province,吉林省,Jilin
488,PRJNA609577,488,-,,,84.0,203.8,84.3,41.2,10.4,69.6,30.1,16.0,173.9,12.8,,,,,85.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Xi14,PRJNA609577,Xi14,-,,,83.0,198.2,86.3,43.5,9.8,72.0,28.1,9.8,123.6,67.0,,,,,84.5,1.5,,,2017,JiLin Province,吉林省,Jilin
K4,PRJNA609577,K4,-,,,85.5,220.5,98.4,44.6,9.3,76.0,33.0,18.3,163.6,18.3,,,,,87.0,1.5,,,2017,JiLin Province,吉林省,Jilin
OH40B,PRJNA609577,OH40B,-,,,77.0,208.7,82.8,39.8,8.2,82.4,37.3,7.3,,,,,,,79.5,2.5,,,2017,JiLin Province,吉林省,Jilin
OH33,PRJNA609577,OH33,-,,,79.5,259.6,103.9,39.9,7.8,81.8,41.4,13.0,158.1,31.0,,,,,84.0,4.5,,,2017,JiLin Province,吉林省,Jilin
Tai184,PRJNA609577,Tai184,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
C102,PRJNA609577,C102,-,,,86.5,298.9,126.4,42.3,8.7,76.9,37.9,11.0,151.9,38.9,,,,,87.0,0.5,,,2017,JiLin Province,吉林省,Jilin
OH7B,PRJNA609577,OH7B,-,,,83.5,278.0,120.4,43.3,8.5,81.5,44.5,9.3,167.9,11.3,,,,,83.0,4.0,,,2017,JiLin Province,吉林省,Jilin
R4,PRJNA609577,R4,-,,,,,,,,,,,148.9,28.8,,,,,,,,,2017,JiLin Province,吉林省,Jilin
N6,PRJNA609577,N6,-,,,86.0,206.2,88.3,42.8,6.9,77.3,31.4,10.5,151.2,26.6,,,,,88.5,2.5,,,2017,JiLin Province,吉林省,Jilin
K64,PRJNA609577,K64,-,,,91.0,226.6,90.5,39.6,6.2,72.3,30.8,12.7,154.9,24.0,,,,,93.0,2.0,,,2017,JiLin Province,吉林省,Jilin
CM7,PRJNA609577,CM7,-,,,69.0,185.7,33.5,18.1,11.1,71.8,41.0,8.3,161.0,22.1,,,,,70.5,1.5,,,2017,JiLin Province,吉林省,Jilin
A6,PRJNA609577,A6,-,,,,261.3,136.2,52.2,8.7,92.2,36.6,17.7,153.4,27.6,,,,,,,,,2017,JiLin Province,吉林省,Jilin
H5,PRJNA609577,H5,-,,,82.0,213.0,89.3,42.0,9.3,68.3,29.1,10.0,139.9,34.2,,,,,83.5,1.5,,,2017,JiLin Province,吉林省,Jilin
B2,PRJNA609577,B2,-,,,85.0,229.6,92.6,40.3,7.7,80.0,37.2,16.2,140.6,39.1,,,,,87.0,2.0,,,2017,JiLin Province,吉林省,Jilin
38_11,PRJNA609577,38_11,-,,,92.5,274.3,137.4,50.1,7.8,90.4,43.3,11.9,153.6,30.1,,,,,94.5,2.0,,,2017,JiLin Province,吉林省,Jilin
MS153,PRJNA609577,MS153,-,,,77.0,195.2,79.3,40.6,10.8,64.8,36.9,12.6,149.6,28.2,,,,,77.5,0.5,,,2017,JiLin Province,吉林省,Jilin
I159,PRJNA609577,I159,-,,,90.0,227.0,100.5,44.3,7.5,75.7,26.3,8.1,143.4,39.6,,,,,92.0,2.0,,,2017,JiLin Province,吉林省,Jilin
Xinaiguang10,PRJNA609577,Xinaiguang10,-,,,,245.9,111.8,45.5,8.5,,36.0,13.0,161.6,23.6,,,,,,,,,2017,JiLin Province,吉林省,Jilin
A375,PRJNA609577,A375,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
A374,PRJNA609577,A374,-,,,79.5,181.1,70.0,38.6,7.9,82.0,29.5,10.3,,,,,,,81.0,1.5,,,2017,JiLin Province,吉林省,Jilin
A334,PRJNA609577,A334,-,,,79.0,174.3,80.4,46.0,7.5,67.7,21.6,19.6,,,,,,,80.5,1.5,,,2017,JiLin Province,吉林省,Jilin
Dan341,PRJNA609577,Dan341,-,,,93.0,196.8,85.8,43.4,11.2,77.1,32.3,20.8,151.6,28.9,,,,,93.5,0.5,,,2017,JiLin Province,吉林省,Jilin
K55,PRJNA609577,K55,-,,,86.5,181.6,60.5,33.2,8.2,62.4,30.4,14.7,162.8,22.5,,,,,81.0,,,,2017,JiLin Province,吉林省,Jilin
A188,PRJNA609577,A188,-,,,,,,,,,,,,,,,,,,,,,2017,JiLin Province,吉林省,Jilin
CI31A,PRJNA609577,CI31A,-,,,90.0,207.7,91.8,44.2,7.8,76.5,38.7,14.8,148.7,29.0,,,,,91.5,1.5,,,2017,JiLin Province,吉林省,Jilin
CM37,PRJNA609577,CM37,-,,,70.5,138.8,31.5,22.7,7.8,61.5,32.1,7.5,,,,,,,73.0,2.5,,,2017,JiLin Province,吉林省,Jilin
Dan99chang,PRJNA609577,Dan99chang,-,,,86.5,232.9,105.3,45.2,10.3,67.7,31.0,8.3,167.3,16.5,,,,,87.0,0.5,,,2017,JiLin Province,吉林省,Jilin
R168,PRJNA609577,R168,-,,,80.0,202.8,80.0,39.4,8.0,72.9,33.7,11.5,140.1,50.2,,,,,80.5,0.5,,,2017,JiLin Province,吉林省,Jilin
