Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,Unnamed: 22,Treatment,Years,location,Region_cn,Region
PHG35,PRJNA609577,PHG35,-,,,63.0,238.0,70.5,29.6,8.9,82.0,36.5,7.8,163.8,21.4,19.53,2.0,2.0,16.7,,,,,2016,HeBei Province,河北省,Hebei
MO24W,PRJNA609577,MO24W,-,,,75.0,268.7,140.8,52.4,8.8,88.9,45.5,17.5,162.5,18.9,28.08,2.0,1.0,16.4,,,,,2016,HeBei Province,河北省,Hebei
ML606,PRJNA609577,ML606,-,,,63.0,201.3,58.0,28.8,9.9,80.2,27.4,4.2,156.4,30.1,20.65,1.0,2.0,12.8,,,,,2016,HeBei Province,河北省,Hebei
29MIBZ2,PRJNA609577,29MIBZ2,-,,,61.0,166.0,49.0,29.5,9.8,73.3,32.0,11.3,137.7,51.4,22.41,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
C103,PRJNA609577,C103,-,,,73.0,202.5,91.3,45.1,8.7,82.1,32.6,18.0,154.1,22.9,23.47,2.0,2.0,14.8,,,,,2016,HeBei Province,河北省,Hebei
PHN66,PRJNA609577,PHN66,-,,,70.0,218.3,82.5,37.8,9.0,73.2,32.8,7.8,148.2,36.0,19.45,1.0,2.0,14.9,,,,,2016,HeBei Province,河北省,Hebei
PHJ90,PRJNA609577,PHJ90,-,,,62.0,186.5,64.5,34.6,9.0,73.5,31.5,9.3,144.9,38.9,21.19,2.0,2.0,17.3,,,,,2016,HeBei Province,河北省,Hebei
PHJ89,PRJNA609577,PHJ89,-,,,64.0,201.8,48.0,23.8,9.5,69.8,33.3,7.2,154.1,27.6,19.89,1.0,2.0,14.4,,,,,2016,HeBei Province,河北省,Hebei
Lp215D,PRJNA609577,Lp215D,-,,,61.0,198.0,56.7,28.6,9.2,65.7,38.3,5.0,152.6,31.7,18.43,1.0,2.0,15.3,,,,,2016,HeBei Province,河北省,Hebei
Aiji205,PRJNA609577,Aiji205,-,,,74.0,203.7,96.0,47.1,8.9,72.4,33.0,15.7,136.2,50.2,23.14,1.0,1.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
HuangC,PRJNA609577,HuangC,-,,,67.0,231.6,91.6,39.6,9.5,73.8,34.2,5.2,159.9,22.1,19.8,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
618,PRJNA609577,618,-,,,68.0,202.0,82.0,40.6,10.9,76.8,30.5,10.3,140.8,45.6,22.9,1.0,2.0,11.5,,,,,2016,HeBei Province,河北省,Hebei
Ernan24,PRJNA609577,Ernan24,-,,,67.0,254.7,116.9,45.9,9.8,80.5,33.6,9.4,148.2,34.8,17.49,1.0,2.0,12.8,,,,,2016,HeBei Province,河北省,Hebei
H21,PRJNA609577,H21,-,,,69.0,196.2,78.2,39.9,8.9,72.5,31.8,11.4,152.3,30.4,18.63,1.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
5237,PRJNA609577,5237,-,,,68.0,199.0,89.0,44.7,8.3,69.5,29.7,8.6,158.8,22.7,20.77,1.0,2.0,14.5,,,,,2016,HeBei Province,河北省,Hebei
485,PRJNA609577,485,-,,,61.0,172.0,58.8,34.2,7.7,73.0,40.2,6.0,150.7,30.2,17.46,2.0,2.0,10.9,,,,,2016,HeBei Province,河北省,Hebei
9010,PRJNA609577,9010,-,,,73.0,154.6,72.6,47.0,11.4,76.8,30.8,12.6,171.8,9.9,23.39,1.0,2.0,17.3,,,,,2016,HeBei Province,河北省,Hebei
DAN360,PRJNA609577,DAN360,-,,,69.0,232.0,84.5,36.4,10.2,84.8,29.8,15.4,159.7,20.6,25.72,1.0,2.0,20.0,,,,,2016,HeBei Province,河北省,Hebei
Liao9586,PRJNA609577,Liao9586,-,,,70.0,186.3,60.3,32.4,10.8,67.4,27.6,8.5,172.7,13.1,21.07,1.0,2.0,13.5,,,,,2016,HeBei Province,河北省,Hebei
SI273,PRJNA609577,SI273,-,,,64.0,192.5,56.0,29.1,9.8,78.2,37.7,15.0,173.8,11.9,26.22,1.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
Ying64,PRJNA609577,Ying64,-,,,59.0,216.8,83.0,38.3,11.1,68.0,33.9,15.8,126.7,63.0,22.0,2.0,2.0,13.7,,,,,2016,HeBei Province,河北省,Hebei
Dian11,PRJNA609577,Dian11,-,,,58.0,142.3,43.0,30.2,10.6,60.8,30.6,7.4,153.2,27.7,20.96,2.0,2.0,11.2,,,,,2016,HeBei Province,河北省,Hebei
81565,PRJNA609577,81565,-,,,79.0,272.3,145.8,53.5,8.6,79.8,34.1,19.2,162.1,18.9,21.88,1.0,1.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
Ye8001,PRJNA609577,Ye8001,-,,,63.0,186.0,83.5,44.9,9.4,66.7,28.0,25.0,170.3,8.7,19.53,1.0,2.0,12.7,,,,,2016,HeBei Province,河北省,Hebei
C8605_2,PRJNA609577,C8605_2,-,,,72.0,166.0,54.0,32.5,9.5,74.8,21.0,8.0,148.1,28.3,17.84,,,,,,,,2016,HeBei Province,河北省,Hebei
8902,PRJNA609577,8902,-,,,64.0,181.4,79.8,44.0,9.9,64.4,28.0,9.0,172.5,18.5,24.78,2.0,2.0,13.1,,,,,2016,HeBei Province,河北省,Hebei
Ken44,PRJNA609577,Ken44,-,,,59.0,139.5,42.5,30.5,8.2,54.4,31.0,10.8,129.2,52.9,15.76,2.0,2.0,14.0,,,,,2016,HeBei Province,河北省,Hebei
Huang428,PRJNA609577,Huang428,-,,,62.0,191.3,67.7,35.4,10.1,74.4,35.3,,160.6,24.9,22.31,1.0,2.0,19.3,,,,,2016,HeBei Province,河北省,Hebei
H152,PRJNA609577,H152,-,,,62.0,203.3,72.3,35.5,10.1,82.8,36.5,11.8,156.5,29.3,26.15,1.0,2.0,11.4,,,,,2016,HeBei Province,河北省,Hebei
Danhuang02,PRJNA609577,Danhuang02,-,,,74.0,209.8,110.3,52.6,10.9,84.3,32.8,30.0,156.9,23.6,26.27,1.0,2.0,18.0,,,,,2016,HeBei Province,河北省,Hebei
ZaC546,PRJNA609577,ZaC546,-,,,58.0,191.8,65.8,34.3,9.5,66.0,32.7,13.4,150.7,29.9,18.46,2.0,2.0,13.6,,,,,2016,HeBei Province,河北省,Hebei
HZ85,PRJNA609577,HZ85,-,,,66.0,252.0,84.4,33.5,9.0,90.5,45.4,9.6,164.8,25.6,22.95,1.0,2.0,11.3,,,,,2016,HeBei Province,河北省,Hebei
Dan599,PRJNA609577,Dan599,-,,,75.0,190.8,92.0,48.2,10.5,68.6,31.0,11.0,155.9,34.7,25.99,1.0,2.0,20.0,,,,,2016,HeBei Province,河北省,Hebei
7327,PRJNA609577,7327,-,,,73.0,189.5,94.3,49.7,10.5,73.4,33.9,29.5,154.8,23.9,26.5,1.0,2.0,16.5,,,,,2016,HeBei Province,河北省,Hebei
Suwan1611,PRJNA609577,Suwan1611,-,,,71.0,210.5,89.8,42.6,9.0,90.9,36.1,14.0,158.8,19.9,23.26,1.0,2.0,13.0,,,,,2016,HeBei Province,河北省,Hebei
Ye52106,PRJNA609577,Ye52106,-,,,69.0,217.7,100.7,46.2,11.5,68.5,44.7,15.3,165.3,17.0,25.27,2.0,2.0,14.7,,,,,2016,HeBei Province,河北省,Hebei
H49,PRJNA609577,H49,-,,,68.0,202.8,98.8,48.7,11.1,75.5,28.0,12.5,123.3,65.4,20.09,2.0,2.0,16.0,,,,,2016,HeBei Province,河北省,Hebei
WIL_23,PRJNA609577,WIL_23,-,,,68.0,196.8,79.0,40.1,10.2,77.5,31.2,10.8,167.7,16.7,20.01,1.0,2.0,14.6,,,,,2016,HeBei Province,河北省,Hebei
A801,PRJNA609577,A801,-,,,69.0,235.0,83.0,35.3,9.7,80.5,38.4,14.6,163.2,18.9,24.36,2.0,2.0,15.2,,,,,2016,HeBei Province,河北省,Hebei
WIL_15,PRJNA609577,WIL_15,-,,,65.0,201.3,62.8,31.2,9.9,64.9,28.1,7.4,163.9,17.3,17.74,2.0,2.0,12.3,,,,,2016,HeBei Province,河北省,Hebei
