Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
9058,PRJNA609577,9058,-,5.4,16,54,167.2,45.4,27.2,9.6,68.2,27.1,8.7,164.6,18.4,,,,,,,,,2016,HaiNan Province,海南省
FBLA,PRJNA609577,FBLA,-,6.5,18,52,185.2,50.2,27.1,8.1,69.6,25.1,5.4,143.6,39.6,,,,,,,,,2016,HaiNan Province,海南省
Huotanghuang17,PRJNA609577,Huotanghuang17,-,5,12,61,83.5,19.5,23.4,6.7,42,18.5,1.5,129.8,49.6,,,,,,,,,2016,HaiNan Province,海南省
7884_7Ht,PRJNA609577,7884_7Ht,-,5,17.2,56,137.6,48.6,35.3,9.4,62.4,30.7,3.8,149.1,32.9,,,,,,,,,2016,HaiNan Province,海南省
81162,PRJNA609577,81162,-,4.7,15.3,61,89.2,28.6,32.1,8.4,52.5,17.6,3.5,158,24.4,,,,,,,,,2016,HaiNan Province,海南省
PHH93,PRJNA609577,PHH93,-,5.6,16.6,50,183,60.6,33.1,7.8,75.6,31.1,7.6,154,27.4,,,,,,,,,2016,HaiNan Province,海南省
Aijin525,PRJNA609577,Aijin525,-,5.3,17,53,155,61.6,39.7,9.4,64.4,26.3,24.4,158.9,24.6,,,,,,,,,2016,HaiNan Province,海南省
787,PRJNA609577,787,-,,19,58,220.8,56,25.4,10.5,75.8,25.3,1,170.7,11.7,,,,,,,,,2016,HaiNan Province,海南省
LH220Ht,PRJNA609577,LH220Ht,-,5,17,53,161.4,53,32.8,7.1,74.3,23,5.2,149.1,30.6,,,,,,,,,2016,HaiNan Province,海南省
W23,PRJNA609577,W23,-,4.7,13.7,50,118,32.4,27.5,7.6,46.7,23.8,4.5,139.2,42.7,,,,,,,,,2016,HaiNan Province,海南省
H84,PRJNA609577,H84,-,7.5,18.5,55,169.8,51.8,30.5,7.6,66.4,24.2,6.6,152.9,23.8,,,,,,,,,2016,HaiNan Province,海南省
B76,PRJNA609577,B76,-,5,14.3,55,161.4,49.8,30.9,9.1,64,32.7,5.4,133.9,46.1,,,,,,,,,2016,HaiNan Province,海南省
B100,PRJNA609577,B100,-,5.5,17.5,59,157.8,52,33,8.6,61.2,27.8,7,143.4,37.6,,,,,,,,,2016,HaiNan Province,海南省
Qi35,PRJNA609577,Qi35,-,6.5,17.5,54,215,66.2,30.8,9.8,73.4,39.4,4.7,140.1,42,,,,,,,,,2016,HaiNan Province,海南省
B73,PRJNA609577,B73,-,5.3,17.3,54,198.6,82.6,41.6,9.3,83.4,29.5,6.4,161.7,29.2,,,,,,,,,2016,HaiNan Province,海南省
BZN,PRJNA609577,BZN,-,4.7,12.7,49,110.4,15.9,14.4,7.9,49.3,23,2.1,133.8,50.8,,,,,,,,,2016,HaiNan Province,海南省
A632,PRJNA609577,A632,-,6,18,54,175.8,67.4,38.3,7.8,68.6,28.1,6.4,132.7,46.3,,,,,,,,,2016,HaiNan Province,海南省
200B,PRJNA609577,200B,-,5.5,17,54,170.1,58.3,34.3,9.2,62.7,26.4,13.8,159.6,22.8,,,,,,,,,2016,HaiNan Province,海南省
Zong3,PRJNA609577,Zong3,-,5.8,17,56,180,63.4,35.2,9.4,72.3,28.9,14,162.1,23.5,,,,,,,,,2016,HaiNan Province,海南省
Zi330,PRJNA609577,Zi330,-,6,18,55,193.2,71.6,37.1,11.1,76.4,34.8,18.3,144,36.3,,,,,,,,,2016,HaiNan Province,海南省
488,PRJNA609577,488,-,6.3,17.3,55,169.8,56,33,10.7,74.5,28.3,16.2,167.2,19.9,,,,,,,,,2016,HaiNan Province,海南省
Xi14,PRJNA609577,Xi14,-,6,15.7,55,155.2,57.2,36.9,10.9,70.5,31.2,8,145.1,40.8,,,,,,,,,2016,HaiNan Province,海南省
K4,PRJNA609577,K4,-,5,16.8,57,181.2,70.2,38.7,9.7,70,32.7,15.6,161.1,18.8,,,,,,,,,2016,HaiNan Province,海南省
OH40B,PRJNA609577,OH40B,-,4.8,15,58,169.6,44.6,26.3,8.1,72,32.7,7.8,152,31.7,,,,,,,,,2016,HaiNan Province,海南省
OH33,PRJNA609577,OH33,-,5.2,15.6,51,210.8,61.4,29.1,7.8,71.4,32.6,11.3,143.6,41.4,,,,,,,,,2016,HaiNan Province,海南省
Tai184,PRJNA609577,Tai184,-,5,15.5,56,200.2,59.2,29.6,9.8,67,31.6,10.7,142.9,38.3,,,,,,,,,2016,HaiNan Province,海南省
C102,PRJNA609577,C102,-,6,17.5,56,222,70.8,31.9,8.5,70,31.9,8.4,152.3,30.2,,,,,,,,,2016,HaiNan Province,海南省
OH7B,PRJNA609577,OH7B,-,4.5,16,59,213.6,92.8,43.4,9.2,86.2,29.4,8,162.8,16,,,,,,,,,2016,HaiNan Province,海南省
R4,PRJNA609577,R4,-,5.7,16.2,52,188,59.6,31.7,8.9,65,33.6,8.7,149.1,29,,,,,,,,,2016,HaiNan Province,海南省
N6,PRJNA609577,N6,-,6,18,52,166.8,50.8,30.5,6.8,70.6,30.5,14.6,147.9,31.6,,,,,,,,,2016,HaiNan Province,海南省
K64,PRJNA609577,K64,-,5.5,16.8,55,184.2,66,35.8,7.2,75,30.2,9.8,153.3,24.8,,,,,,,,,2016,HaiNan Province,海南省
CM7,PRJNA609577,CM7,-,5.5,13.3,42,191.2,38.2,20,10.9,79.4,36.1,5,135.4,43.2,,,,,,,,,2016,HaiNan Province,海南省
A6,PRJNA609577,A6,-,6,21.3,61,184,95.7,52,9.6,77.3,32.8,14.7,149.5,31.2,,,,,,,,,2016,HaiNan Province,海南省
H5,PRJNA609577,H5,-,4.4,14,51,163.2,51.4,31.5,8.2,67.2,26,6.4,147.1,33.6,,,,,,,,,2016,HaiNan Province,海南省
B2,PRJNA609577,B2,-,6.3,17,54,159.5,43.5,27.3,8.9,69.8,31.2,7,133.7,46.5,,,,,,,,,2016,HaiNan Province,海南省
38_11,PRJNA609577,38_11,-,4.8,16.5,59,181.8,66.5,36.6,6.9,88.4,40.2,9.8,150.3,31.1,,,,,,,,,2016,HaiNan Province,海南省
MS153,PRJNA609577,MS153,-,4.3,14.3,49,152,43.5,28.6,8.1,55.5,29.5,5.4,142.5,34,,,,,,,,,2016,HaiNan Province,海南省
I159,PRJNA609577,I159,-,3.3,16,66,151.7,63.7,42,9,68.8,23,7,149.4,32.3,,,,,,,,,2016,HaiNan Province,海南省
Xinaiguang10,PRJNA609577,Xinaiguang10,-,5.3,15.7,54,151.4,41.8,27.6,7.7,69.2,27.3,8.3,152.8,28.9,,,,,,,,,2016,HaiNan Province,海南省
A375,PRJNA609577,A375,-,4.8,13.8,48,118.8,28,23.6,,55.8,27.3,5.8,155.9,28.2,,,,,,,,,2016,HaiNan Province,海南省
A374,PRJNA609577,A374,-,4,14,50,131,37.8,28.9,6.6,69,23.8,6.4,122.3,55.2,,,,,,,,,2016,HaiNan Province,海南省
A334,PRJNA609577,A334,-,4,12,45,115.4,25.8,22.4,6.9,59.5,27,8.6,144.4,34.6,,,,,,,,,2016,HaiNan Province,海南省
Dan341,PRJNA609577,Dan341,-,5.7,18.7,62,150.3,46.3,30.8,12.5,74.3,36.5,17.3,146.3,34.5,,,,,,,,,2016,HaiNan Province,海南省
K55,PRJNA609577,K55,-,6,18,55,141.2,35.4,25.1,8.7,60.6,28,11.4,157.2,25.5,,,,,,,,,2016,HaiNan Province,海南省
A188,PRJNA609577,A188,-,5,14.7,46,131.8,29.4,22.3,7.5,53.6,27,17.5,151.1,31.4,,,,,,,,,2016,HaiNan Province,海南省
CI31A,PRJNA609577,CI31A,-,4.6,17.8,65,166.6,64.8,38.9,9.2,73.7,39.4,11,151.2,27.6,,,,,,,,,2016,HaiNan Province,海南省
CM37,PRJNA609577,CM37,-,4.3,11.3,43,124.8,23.4,18.8,7,57.8,31,4.8,131.6,44.7,,,,,,,,,2016,HaiNan Province,海南省
Dan99chang,PRJNA609577,Dan99chang,-,6,17,52,162.6,52.2,32.1,9.2,68.3,29,6.7,160.8,21.6,,,,,,,,,2016,HaiNan Province,海南省
R168,PRJNA609577,R168,-,3.6,13.8,49,173.6,62.8,36.2,7.5,72.4,30.4,11.8,139.7,43.3,,,,,,,,,2016,HaiNan Province,海南省
N28,PRJNA609577,N28,-,6.5,20.5,58,164.7,54,32.8,8.4,65.8,22.8,8.8,158.4,27.6,,,,,,,,,2016,HaiNan Province,海南省
LD61,PRJNA609577,LD61,-,5.3,16.3,51,197,66.4,33.7,9.8,85.8,34.7,7,167.3,17.8,,,,,,,,,2016,HaiNan Province,海南省
LH212Ht,PRJNA609577,LH212Ht,-,4.5,16.3,55,188.4,74,39.3,8,71.3,28.7,4.8,154.1,24.9,,,,,,,,,2016,HaiNan Province,海南省
LH208,PRJNA609577,LH208,-,6,17,56,161.2,52.2,32.4,9.3,76.5,24.1,4.8,150.8,33.9,,,,,,,,,2016,HaiNan Province,海南省
LH181,PRJNA609577,LH181,-,5.3,15,52,218,63,28.9,10.9,72.9,36.8,3.4,147.7,29.4,,,,,,,,,2016,HaiNan Province,海南省
LH128,PRJNA609577,LH128,-,6.3,16,54,146.6,52,35.5,8.2,65.6,23.4,4.5,139.7,34.3,,,,,,,,,2016,HaiNan Province,海南省
NL001,PRJNA609577,NL001,-,5.2,18.2,52,175.8,73,41.5,7.9,64.3,23.8,6.8,143.1,35.4,,,,,,,,,2016,HaiNan Province,海南省
BCC03,PRJNA609577,BCC03,-,5.5,16.5,58,183.4,52.8,28.8,8.7,76,31.3,11.4,154.5,27.5,,,,,,,,,2016,HaiNan Province,海南省
PHV07,PRJNA609577,PHV07,-,5,16.5,54,177.8,62.8,35.3,9,66.1,35.5,2.9,157.5,26.3,,,,,,,,,2016,HaiNan Province,海南省
PHP76,PRJNA609577,PHP76,-,5.8,17,53,160.2,54.2,33.8,7.8,69,36.3,6.5,144.8,34.3,,,,,,,,,2016,HaiNan Province,海南省
PHJ65,PRJNA609577,PHJ65,-,8,21.3,59,234.4,73,31.1,10.6,88.6,30.8,13.7,154.9,19.3,,,,,,,,,2016,HaiNan Province,海南省
LH191,PRJNA609577,LH191,-,4.7,14.7,56,122.6,33.2,27.1,9.6,62.7,27.1,6.7,143.4,39.5,,,,,,,,,2016,HaiNan Province,海南省
Zaodahuang,PRJNA609577,Zaodahuang,-,4.7,14,50,144,49.4,34.3,6.9,58,21.4,5.9,147,36.4,,,,,,,,,2016,HaiNan Province,海南省
832,PRJNA609577,832,-,5.3,17.7,57,167.8,54.2,32.3,8,69,19.2,5.2,164.2,21.9,,,,,,,,,2016,HaiNan Province,海南省
803,PRJNA609577,803,-,4.3,16.3,58,107.4,46.2,43,8.2,58.5,,9.6,170.2,17,,,,,,,,,2016,HaiNan Province,海南省
434,PRJNA609577,434,-,6,15.8,51,133.8,32.6,24.4,8.2,62.4,31.5,7,153.1,27.6,,,,,,,,,2016,HaiNan Province,海南省
4112,PRJNA609577,4112,-,6,16.5,55,150.4,44,29.3,9.4,61.2,23.3,4.6,163.8,21.5,,,,,,,,,2016,HaiNan Province,海南省
4F1,PRJNA609577,4F1,-,5.2,16.6,54,188.5,54.8,29,9.7,69.3,36,9.3,139.8,46.7,,,,,,,,,2016,HaiNan Province,海南省
812,PRJNA609577,812,-,5,15.7,58,170,55.6,32.7,10,72.2,26.2,8,164.5,19,,,,,,,,,2016,HaiNan Province,海南省
446,PRJNA609577,446,-,5.7,16.9,51,175,60,34.3,10.8,71.8,33.6,12.5,152.7,28.4,,,,,,,,,2016,HaiNan Province,海南省
Yan414,PRJNA609577,Yan414,-,5,14.7,51,168.3,55.9,33.2,11.5,63.6,28.7,4.2,152.5,31.8,,,,,,,,,2016,HaiNan Province,海南省
CI66,PRJNA609577,CI66,-,6.3,20.4,63,177.4,62.4,35.2,9.4,56,27,8.4,150.6,30.5,,,,,,,,,2016,HaiNan Province,海南省
Dahuang46,PRJNA609577,Dahuang46,-,4.3,17.3,55,203.8,94.4,46.3,8.9,57.6,34.8,16.6,134,50.5,,,,,,,,,2016,HaiNan Province,海南省
Oh7,PRJNA609577,Oh7,-,5.4,17.4,57,231.6,89.4,38.6,8.3,82.6,36.3,12,157.9,27.8,,,,,,,,,2016,HaiNan Province,海南省
KY228,PRJNA609577,KY228,-,6,19.2,58,196.6,62.4,31.7,10.1,76.2,30.3,22.6,150.8,36.1,,,,,,,,,2016,HaiNan Province,海南省
CM105,PRJNA609577,CM105,-,5,14.8,48,169.6,52.6,31,7.4,74.4,25.7,4,144.2,36.6,,,,,,,,,2016,HaiNan Province,海南省
B57,PRJNA609577,B57,-,5.8,17.3,52,165.6,51.8,31.3,8.7,74,30.4,17.8,141.3,39.7,,,,,,,,,2016,HaiNan Province,海南省
B69,PRJNA609577,B69,-,6.4,18.6,56,203.8,73,35.8,9,79.8,27.8,8.6,138,45,,,,,,,,,2016,HaiNan Province,海南省
Mo18W,PRJNA609577,Mo18W,-,6.2,19,57,233.4,88.8,38,8.8,87.8,40.6,21.2,145.7,37.8,,,,,,,,,2016,HaiNan Province,海南省
B64,PRJNA609577,B64,-,6.2,19.2,63,208.6,87.8,42.1,8.3,88.6,35.4,8,161.3,21.8,,,,,,,,,2016,HaiNan Province,海南省
B96,PRJNA609577,B96,-,4.5,14.8,53,171.4,51.2,29.9,7.2,62.4,32.4,15.7,135.3,44.2,,,,,,,,,2016,HaiNan Province,海南省
I_205,PRJNA609577,I_205,-,,,,,,,,,,,,,,,,,,,,,2016,HaiNan Province,海南省
Liao2202,PRJNA609577,Liao2202,-,5.6,17.6,59,162.2,61.6,38,10.6,57.4,25.8,15,162,23.8,,,,,,,,,2016,HaiNan Province,海南省
B10,PRJNA609577,B10,-,6.5,19.5,58,184.5,54.4,29.5,8.9,81.8,27.4,11.4,141,36.5,,,,,,,,,2016,HaiNan Province,海南省
B8,PRJNA609577,B8,-,5,16.5,50,192.8,80.2,41.6,7.9,71.4,26.3,12.2,145,37.8,,,,,,,,,2016,HaiNan Province,海南省
A171,PRJNA609577,A171,-,5,15,45,189.2,56.2,29.7,7.6,74.4,29.3,17.5,166.6,21.9,,,,,,,,,2016,HaiNan Province,海南省
Lv10,PRJNA609577,Lv10,-,5.5,16.5,50,165,38,23,10.1,74.3,36.3,12.5,159.2,23.3,,,,,,,,,2016,HaiNan Province,海南省
PHJ40,PRJNA609577,PHJ40,-,5,15,46,154,55.8,36.2,8.2,65.5,30.3,5,129.3,46.7,,,,,,,,,2016,HaiNan Province,海南省
A71,PRJNA609577,A71,-,5,16.5,50,180.2,78,43.3,9.6,70.6,38.3,19.9,119,58.9,,,,,,,,,2016,HaiNan Province,海南省
C14,PRJNA609577,C14,-,4.5,14.3,45,143.2,55.6,38.8,6.6,66.4,27.7,7,127.1,47.9,,,,,,,,,2016,HaiNan Province,海南省
C46,PRJNA609577,C46,-,4.6,14.6,45,182.3,67.5,37,8.8,65.8,27.7,16.6,136.4,50.2,,,,,,,,,2016,HaiNan Province,海南省
Baihe43,PRJNA609577,Baihe43,-,5.3,16.3,55,151.6,44,29,10.6,73,35.4,8.2,160.7,21.8,,,,,,,,,2016,HaiNan Province,海南省
R177,PRJNA609577,R177,-,6.2,16.2,53,182.6,40.4,22.1,8.6,73.4,34.1,7,143.7,33.7,,,,,,,,,2016,HaiNan Province,海南省
R2,PRJNA609577,R2,-,5.4,15.6,55,179.6,68,37.9,8.6,70.4,32.3,9,153.2,29.4,,,,,,,,,2016,HaiNan Province,海南省
W9,PRJNA609577,W9,-,5.3,15.5,49,164.8,57.8,35.1,8.7,62.6,21.8,10.4,147,31.4,,,,,,,,,2016,HaiNan Province,海南省
W22,PRJNA609577,W22,-,5.6,17,51,168,60,35.7,10.8,76,31.5,10.1,151.2,32.1,,,,,,,,,2016,HaiNan Province,海南省
PHR30,PRJNA609577,PHR30,-,7,18,52,184.4,57.4,31.1,8.1,67.3,27.2,4.2,157.2,27.2,,,,,,,,,2016,HaiNan Province,海南省
Ji63,PRJNA609577,Ji63,-,5,16,51,176,59.8,34,9.8,65.1,31,8.8,146.8,30.5,,,,,,,,,2016,HaiNan Province,海南省
Dong237,PRJNA609577,Dong237,-,5,14,51,141.6,21.8,15.4,9.5,71.7,24,5,142.1,39.9,,,,,,,,,2016,HaiNan Province,海南省
Chang3,PRJNA609577,Chang3,-,5.7,15,48,191.4,48.8,25.5,9.6,72.6,32.3,3.8,151,28.6,,,,,,,,,2016,HaiNan Province,海南省
Lv9kuan,PRJNA609577,Lv9kuan,-,5.3,16.3,58,162.2,55.2,34,10.7,76.8,30.4,22.6,159.3,26.7,,,,,,,,,2016,HaiNan Province,海南省
PHBA6,PRJNA609577,PHBA6,-,6,18,51,242.6,86.4,35.6,8,77.6,35.5,12.7,156.5,24.3,,,,,,,,,2016,HaiNan Province,海南省
48_2,PRJNA609577,48_2,-,4,15,53,127.4,51.6,40.5,8.6,66,29.4,15.4,154.5,26,,,,,,,,,2016,HaiNan Province,海南省
Luyuan92,PRJNA609577,Luyuan92,-,6.3,16.7,53,178.8,52.8,29.5,10.1,69,28.1,6.5,137.1,47.5,,,,,,,,,2016,HaiNan Province,海南省
LH215,PRJNA609577,LH215,-,5.8,16.8,54,191.8,57.6,30,8.3,66.9,29.6,3.7,139,41.4,,,,,,,,,2016,HaiNan Province,海南省
LH162,PRJNA609577,LH162,-,4.4,14.1,46,155,52,33.5,7.3,62.9,29.1,11.7,145.4,37.2,,,,,,,,,2016,HaiNan Province,海南省
LH196,PRJNA609577,LH196,-,6.3,16.7,51,194,42,21.6,8.4,79,33.7,6.3,150,33,,,,,,,,,2016,HaiNan Province,海南省
2MA22,PRJNA609577,2MA22,-,5.6,14.8,48,197.4,44.4,22.5,9.6,82.8,38.7,7,162.4,17.1,,,,,,,,,2016,HaiNan Province,海南省
H99,PRJNA609577,H99,-,6.8,16.6,51,149.2,42.6,28.6,8.7,67.6,23.6,6,142.7,37.4,,,,,,,,,2016,HaiNan Province,海南省
WIL_25,PRJNA609577,WIL_25,-,6.2,18.4,57,205.8,60.4,29.3,8.9,80.6,34.1,2.3,164.6,20,,,,,,,,,2016,HaiNan Province,海南省
LH205,PRJNA609577,LH205,-,5.8,17,52,191.4,61.8,32.3,7.5,74.2,26.8,6.5,153.7,30.8,,,,,,,,,2016,HaiNan Province,海南省
DH40,PRJNA609577,DH40,-,5,16.8,60,219.4,85.6,39,10.5,61.7,29.4,8.8,162.5,20.4,,,,,,,,,2016,HaiNan Province,海南省
PH207,PRJNA609577,PH207,-,5,16,50,179.6,72,40.1,7.7,70.2,31.1,13.4,138.4,41,,,,,,,,,2016,HaiNan Province,海南省
Y223,PRJNA609577,Y223,-,8,20.3,59,172.2,72.2,41.9,12.1,51,,3,155.7,26.6,,,,,,,,,2016,HaiNan Province,海南省
Fu8501,PRJNA609577,Fu8501,-,6,18.7,59,156,63.2,40.5,11.7,65.4,27.1,10.2,161.9,20.1,,,,,,,,,2016,HaiNan Province,海南省
PHGG7,PRJNA609577,PHGG7,-,4,13.6,43,179.2,61.4,34.3,5.9,64.8,29.8,13.1,137.3,42,,,,,,,,,2016,HaiNan Province,海南省
MQ305,PRJNA609577,MQ305,-,4.6,14.4,49,166.8,53,31.8,7.9,64,26.9,11.6,145.1,41.3,,,,,,,,,2016,HaiNan Province,海南省
18_599,PRJNA609577,18_599,-,5.7,18.3,61,171.2,66.8,39,8.3,72.8,26.8,13,149.9,40.1,,,,,,,,,2016,HaiNan Province,海南省
Lv28,PRJNA609577,Lv28,-,6.5,17.8,54,150.4,47.8,31.8,8.4,64.4,20,12.6,158.4,27.2,,,,,,,,,2016,HaiNan Province,海南省
LH193,PRJNA609577,LH193,-,6.3,16.8,55,175.4,48.2,27.5,8,74.3,29.9,4.9,161.7,10.7,,,,,,,,,2016,HaiNan Province,海南省
87_1,PRJNA609577,87_1,-,5,15,53,156.2,45,28.8,10.3,70.8,26.7,9.7,161.6,22.8,,,,,,,,,2016,HaiNan Province,海南省
WIL_21,PRJNA609577,WIL_21,-,4.3,15,55,177.6,52,29.3,10.1,75,38,5,150.2,32.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_24,PRJNA609577,WIL_24,-,5.7,17.3,53,183.6,67.8,36.9,7.3,68.8,24.6,6.2,156.6,17.4,,,,,,,,,2016,HaiNan Province,海南省
A554,PRJNA609577,A554,-,4.8,14.8,49,153.8,42,27.3,7.6,62.4,26.8,9.6,149.5,38,,,,,,,,,2016,HaiNan Province,海南省
LH194,PRJNA609577,LH194,-,6.3,20,61,162.5,54.8,33.7,8.8,78.3,24.8,6,158.5,22.4,,,,,,,,,2016,HaiNan Province,海南省
NQ508,PRJNA609577,NQ508,-,5.2,17.4,57,189,82.6,43.7,8.5,65.2,29.8,5.7,145,36.7,,,,,,,,,2016,HaiNan Province,海南省
ICI_893,PRJNA609577,ICI_893,-,6.3,17.3,58,162.6,41.6,25.6,7.9,69.4,32.1,6.7,158.3,21.1,,,,,,,,,2016,HaiNan Province,海南省
ICI_441,PRJNA609577,ICI_441,-,5.6,16.6,56,184,50,27.2,7.8,75,28.8,5.8,163.8,24.7,,,,,,,,,2016,HaiNan Province,海南省
ICI_193,PRJNA609577,ICI_193,-,5.3,17.8,50,188.2,89.2,47.4,6.3,51.9,21.9,9.4,132.1,55.9,,,,,,,,,2016,HaiNan Province,海南省
LH222,PRJNA609577,LH222,-,5.3,15.3,50,158.8,47,29.6,7.1,63.5,22.1,4.9,154.2,28.2,,,,,,,,,2016,HaiNan Province,海南省
83IBI3,PRJNA609577,83IBI3,-,4.3,14.5,48,155,53.6,34.6,7.1,64.2,31.1,9.2,148.2,37.1,,,,,,,,,2016,HaiNan Province,海南省
LIBC_4,PRJNA609577,LIBC_4,-,5,15.5,50,137.8,48.4,35.1,8.8,60.4,25.1,4.5,129.7,54.5,,,,,,,,,2016,HaiNan Province,海南省
F118,PRJNA609577,F118,-,4.7,17,61,177.4,52.6,29.7,8.6,75.4,21.9,12,160.9,22.3,,,,,,,,,2016,HaiNan Province,海南省
LH209,PRJNA609577,LH209,-,6,16,53,178.8,51.4,28.7,6.9,73.8,25.6,4.8,155.2,23.3,,,,,,,,,2016,HaiNan Province,海南省
MBUB,PRJNA609577,MBUB,-,6,15.7,60,169.2,43.8,25.9,8.9,66.8,23.8,1.5,151.5,34,,,,,,,,,2016,HaiNan Province,海南省
Hua160,PRJNA609577,Hua160,-,5,16.7,50,163.2,73.4,45,11.3,56.6,25,11.4,160.5,24.9,,,,,,,,,2016,HaiNan Province,海南省
LH206,PRJNA609577,LH206,-,5.8,16.3,55,176,59.4,33.8,8.7,81.2,28.8,6.3,158.9,25,,,,,,,,,2016,HaiNan Province,海南省
LH127,PRJNA609577,LH127,-,5,15,52,174,52.4,30.1,8.9,71.6,38.9,4.7,145.1,31.7,,,,,,,,,2016,HaiNan Province,海南省
2FACC,PRJNA609577,2FACC,-,6.6,18.2,52,185.8,56.4,30.4,9.1,71.2,22.2,7.7,159.1,37,,,,,,,,,2016,HaiNan Province,海南省
PHP55,PRJNA609577,PHP55,-,6,16,52,186.6,51.4,27.5,10.9,70.4,31.3,15,144.8,31.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_8,PRJNA609577,WIL_8,-,6,17.5,55,187.6,66.6,35.5,10.2,63.8,29.1,4.8,152.8,30.7,,,,,,,,,2016,HaiNan Province,海南省
WIL_11,PRJNA609577,WIL_11,-,5,16,57,129.8,40.2,31,9.9,60.4,23.9,5.2,157.3,27.4,,,,,,,,,2016,HaiNan Province,海南省
8723,PRJNA609577,8723,-,5,17,58,143.6,39.2,27.3,9.1,75.2,31.4,6.7,162.2,19.6,,,,,,,,,2016,HaiNan Province,海南省
WIL_14,PRJNA609577,WIL_14,-,6,17,55,178.6,59.8,33.5,9.9,73.5,26.8,6.8,162.7,21,,,,,,,,,2016,HaiNan Province,海南省
WIL_3,PRJNA609577,WIL_3,-,6.6,17.6,54,212.6,73.6,34.6,10.2,65.1,30.1,3.8,153.8,31,,,,,,,,,2016,HaiNan Province,海南省
F42,PRJNA609577,F42,-,5,15.5,53,171.8,48.5,28.2,8.1,67,28.8,4,155.7,29.8,,,,,,,,,2016,HaiNan Province,海南省
PHG35,PRJNA609577,PHG35,-,6,18.8,54,214.6,79.4,37,7.8,79.5,31.1,4.3,156.9,28.5,,,,,,,,,2016,HaiNan Province,海南省
MO24W,PRJNA609577,MO24W,-,5.5,17,58,234.8,94,40,7.9,75.9,35.9,13.8,163.3,19.4,,,,,,,,,2016,HaiNan Province,海南省
ML606,PRJNA609577,ML606,-,6,17.5,54,190,56.6,29.8,9.8,73,29.3,5.3,159.7,25.6,,,,,,,,,2016,HaiNan Province,海南省
29MIBZ2,PRJNA609577,29MIBZ2,-,5.8,16.3,49,172.4,50,29,9.5,75.7,28.7,10.3,143.4,44.1,,,,,,,,,2016,HaiNan Province,海南省
C103,PRJNA609577,C103,-,6,17.3,55,151.6,43.2,28.5,11.7,75.8,35.6,12.4,144.4,38.5,,,,,,,,,2016,HaiNan Province,海南省
PHN66,PRJNA609577,PHN66,-,6.4,18.2,55,185.6,67.8,36.5,8.5,67.2,30.7,6,148.7,34.8,,,,,,,,,2016,HaiNan Province,海南省
PHJ90,PRJNA609577,PHJ90,-,5,16,51,152.4,56.4,37,8.7,69.7,30.5,6,150.3,31,,,,,,,,,2016,HaiNan Province,海南省
PHJ89,PRJNA609577,PHJ89,-,5.8,15,50,181,46.6,25.7,8.2,72.5,31,5.4,152.8,28.7,,,,,,,,,2016,HaiNan Province,海南省
Lp215D,PRJNA609577,Lp215D,-,6,15.2,49,182.8,47,25.7,9.4,71.6,35,5,139.3,43.3,,,,,,,,,2016,HaiNan Province,海南省
Aiji205,PRJNA609577,Aiji205,-,6.3,18.5,57,197.4,70.8,35.9,8.7,80.2,33.5,15.8,137.1,48.7,,,,,,,,,2016,HaiNan Province,海南省
HuangC,PRJNA609577,HuangC,-,6,17,54,210,63.6,30.3,9.3,72.9,32.1,5.1,157.9,23.4,,,,,,,,,2016,HaiNan Province,海南省
618,PRJNA609577,618,-,5.7,17.7,55,205,97.6,47.6,11.6,77.7,28.6,9.4,132.6,52.4,,,,,,,,,2016,HaiNan Province,海南省
Ernan24,PRJNA609577,Ernan24,-,5,15.8,55,208.4,88.6,42.5,9.7,75.4,32.1,11.2,144.1,42.2,,,,,,,,,2016,HaiNan Province,海南省
H21,PRJNA609577,H21,-,4.4,14.8,,124.2,38,30.6,7.5,57,29,5.6,150.9,29,,,,,,,,,2016,HaiNan Province,海南省
5237,PRJNA609577,5237,-,4.8,15,50,134.4,43.8,32.6,9.8,60,28.4,4.2,159.7,26,,,,,,,,,2016,HaiNan Province,海南省
485,PRJNA609577,485,-,4,13,51,135.4,45.2,33.4,7.9,63.4,33.7,4.7,134.6,45.1,,,,,,,,,2016,HaiNan Province,海南省
9010,PRJNA609577,9010,-,6,19,57,131,51,38.9,10.7,69.2,27.1,15,169.8,11.5,,,,,,,,,2016,HaiNan Province,海南省
DAN360,PRJNA609577,DAN360,-,6,15,56,181.4,57.6,31.8,9.8,70.9,27.3,8.6,163.9,19.2,,,,,,,,,2016,HaiNan Province,海南省
Liao9586,PRJNA609577,Liao9586,-,4,14.3,59,157.7,53.3,33.8,10.6,67.3,28.5,5.5,164.8,20.4,,,,,,,,,2016,HaiNan Province,海南省
SI273,PRJNA609577,SI273,-,6.5,16.5,51,139.4,35.6,25.5,8.7,60.1,29.7,5,168.7,19.2,,,,,,,,,2016,HaiNan Province,海南省
