Sample_ID,Bioproject,Name,Name_cn,Upper leaf number,Total leaf number,Days to anthesis,Plant height,Ear height,Relative ear height,Leaf width,Leaf length,Tassel length,Tassel branch number,Lower leaf angle,Upper leaf angle,Stem diameter,Cobcolor,Kernelcolor,ERN,Days to silking,Anthesis to silking interval,,Treatment,Years,location,Region_cn
Cheng687,PRJNA609577,Cheng687,-,5.6,,71,215.3,92.1,42.8,10.2,81.4,29.5,8.9,161.9,25.1,,,,,71.5,0.5,,,2017,HeBei Province,河北省
CI_187_2,PRJNA609577,CI_187_2,-,5.7,,65.5,208,87.6,42.1,8.4,68.3,36.9,10.9,144.5,35.5,,,,,68.5,3,,,2017,HeBei Province,河北省
MT42,PRJNA609577,MT42,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
H95,PRJNA609577,H95,-,6.3,,62,207.7,72.9,35.1,9.2,75.8,32.9,11.6,143.4,40.4,,,,,66.5,4.5,,,2017,HeBei Province,河北省
C123,PRJNA609577,C123,-,4.8,,59,181.3,69.3,38.3,9.3,70.7,33,14.8,154.4,29.6,,,,,61,2,,,2017,HeBei Province,河北省
WF9,PRJNA609577,WF9,-,5.8,,65.5,202.5,92.9,45.9,11,76.4,31.7,15.9,128.1,54.6,,,,,63.5,-2,,,2017,HeBei Province,河北省
VA59,PRJNA609577,VA59,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
VA17,PRJNA609577,VA17,-,6.3,,68.5,185.5,68.6,36.9,9.3,82.8,36.3,6.3,152.9,31.2,,,,,80,,,,2017,HeBei Province,河北省
Wu105,PRJNA609577,Wu105,-,3.3,,67.5,223.5,114.9,51.2,6.6,70.7,37.1,11.4,152.7,31.8,,,,,68,0.5,,,2017,HeBei Province,河北省
75_1,PRJNA609577,75_1,-,6.3,,75.5,260.1,139.7,53.8,8.6,74,33.5,21.9,156.3,28.4,,,,,76.5,1,,,2017,HeBei Province,河北省
Nan21_3,PRJNA609577,Nan21_3,-,5,,68,215.9,102.4,47.3,8.6,72.3,31.6,11.4,145.5,37.8,,,,,68,0,,,2017,HeBei Province,河北省
Chang72,PRJNA609577,Chang72,-,4.6,,66.5,222.8,119,53.4,9.3,73.8,39.7,15.3,150.4,29.6,,,,,66,-0.5,,,2017,HeBei Province,河北省
Wenhuang31413,PRJNA609577,Wenhuang31413,-,,,,,,,,,,,,,,,,,,,,,2017,HeBei Province,河北省
Hai014,PRJNA609577,Hai014,-,6.4,,56.5,216,91.8,42.5,7.3,58.3,29.2,5.5,153,34.4,,,,,62,5.5,,,2017,HeBei Province,河北省
Ji876,PRJNA609577,Ji876,-,6.5,,65,213.2,91.7,43,9.1,81,34.3,6.8,158.3,23,,,,,62.5,-2.5,,,2017,HeBei Province,河北省
Hua94,PRJNA609577,Hua94,-,4.3,,52.5,158.3,58.1,36.5,9,55.8,29.4,11.6,140.9,40.1,,,,,53,0.5,,,2017,HeBei Province,河北省
ND255,PRJNA609577,ND255,-,6.1,,53.5,176.9,60.5,34.2,6.8,62.5,21.8,18.9,130.7,47.1,,,,,62.5,9,,,2017,HeBei Province,河北省
334_1,PRJNA609577,334_1,-,4.8,,60,164,76.4,46.6,8.7,69.2,29.2,16.4,142.8,42.1,,,,,65.5,5.5,,,2017,HeBei Province,河北省
Qi205,PRJNA609577,Qi205,-,6,,65,205.3,104.3,50.7,9.8,77.7,29.3,10.3,161.4,19.4,,,,,66,1,,,2017,HeBei Province,河北省
Zheng22,PRJNA609577,Zheng22,-,7.1,,58.5,197.3,50.9,26.1,9.7,73.5,33.8,11.5,161.5,21.6,,,,,65,6.5,,,2017,HeBei Province,河北省
Dan340,PRJNA609577,Dan340,-,5.2,,71,186.2,97.6,52.7,8.6,65.3,28,11.5,160.4,24.8,,,,,70,0,,,2017,HeBei Province,河北省
E28,PRJNA609577,E28,-,5.7,,70,190.1,89.7,47.2,9.1,68.9,26,16.3,159.7,22.1,,,,,70,0,,,2017,HeBei Province,河北省
S37,PRJNA609577,S37,-,5.8,,76,173.8,91.8,52.9,8.2,57,26.7,15.2,146.5,34.1,,,,,75,-1,,,2017,HeBei Province,河北省
WIL_22,PRJNA609577,WIL_22,-,6.7,,70,,,,9.1,73.5,30,7,166.3,17.4,,,,,70,0,,,2017,HeBei Province,河北省
WIL_6,PRJNA609577,WIL_6,-,5.3,,63.5,270.2,107.4,39.7,8.9,80.3,37.5,6.1,151.9,31.4,,,,,63.5,0,,,2017,HeBei Province,河北省
Lx03_2,PRJNA609577,Lx03_2,-,5.7,,68.5,222.1,88.4,39.8,10.1,74.4,31.9,10.9,158.2,23.7,,,,,71.5,3,,,2017,HeBei Province,河北省
811A,PRJNA609577,811A,-,5.2,,66.5,191.7,102.4,53.4,11.1,58.5,23,9.3,165.7,20.5,,,,,67.5,1,,,2017,HeBei Province,河北省
Luosu3,PRJNA609577,Luosu3,-,6.9,,56,217.2,98.8,45.5,6.2,68,32.1,13.3,149.4,29.8,,,,,55,-1,,,2017,HeBei Province,河北省
OQ101,PRJNA609577,OQ101,-,5.1,,52.5,175.1,65.6,37.5,7.4,62.9,24.2,16.9,161.8,18,,,,,53,0.5,,,2017,HeBei Province,河北省
LH195,PRJNA609577,LH195,-,5.7,,69.5,209.1,78.1,37.3,8.7,77.2,32.9,8,161.5,16.3,,,,,70,0.5,,,2017,HeBei Province,河北省
Zong31,PRJNA609577,Zong31,-,4.8,,65.5,195.2,82.5,42.4,8.5,66.8,35.5,10.2,162.4,20.3,,,,,64.5,-1,,,2017,HeBei Province,河北省
